partner_name,site_name,site_phone,web_addr,extracted_emails,extracted_phones,address
Aircom Systems Ltd,PETABYTE AIRCOM LTD TANZANIA,+255695547797,https://aircomglobal.com/,"sales@aircomglobal.com, sales.ug@aircomglobal.com, sales.india@aircomglobal.com, sales.tz@aircomglobal.com","+256754334182, +255695547797","VICTORIA PLAZA, 3RD FLOOR , SAMORA AVENUE AND MOROGORO ROAD JUNCTION CITY CENTER, DAR ES SALAAM, TANZANIA"
Alkan CIT Ethiopia,ALKAN CIT TANZANIA,+255765003795,https://www.alkancit.com/,,"201228907098, +254722514546, +255765003795","AMANI PLACE, OHIO STREET, 7TH FLOOR, OFFICE NUMBER -701,DAR ES SALAAM,TANZANIA, DAR ES SALAAM, TANZANIA"
aplite consulting,APLITE CONSULTING,+255653320091,https://aplite.co.tz,,"+255653320091, +255629222777","JOSIEM BUILDING OFFICE # 20, DODOMA, TANZANIA"
ARIES TECHNOLOGIES LTD,ARIES TECHNOLOGIES LTD,+255682595503,https://ariestechnologiesltd.co.tz/,jk@ariestechnologiesltd.co.tz,+255682595503,"DAR ES SALAAM , TANZANIA, DAR ES SALAAM, TANZANIA"
AVIT INTERNATIONAL EAST AFRICA,AVIT INTERNATIONAL TANZANIA,31617002731,https://www.avit.co.ke,,"+251983030732, 31617002731","BEST ONE COMPLEX, SALASALA MBEZI BEACH , DAR ES SALAAM, TANZANIA"
BANYAN IT SOLUTIONS LTD,Banyan IT Solutions Ltd,,https://ira.go.ug/wp-content/uploads/2025/09/LIST-OF-IRA-PREQUALIFIED-PROVIDERS-FY-2025-2028.pdf,,"0012961695 00000, 0001447504 00000, 0002918759 00000, 0005927715 00000, 0006867982 00000, 0009078615 00000, 0011629723 00000, 0012960355 00000, 0012962665 00000, 0004613653 00000, 0000477771 00000, 0007367939 00000, 0009956748 00000, 0012962083 00000, 0005022293 00000, 0012961310 00000, 0003354224 00000, 0012959400 00000, 0001447321 00000, 0003353866 00000, 0003838920 00000, 0012135227 00000, 0011630009 00000, 0011128672 00000, 0012962859 00000, 0002433163 00000, 0006382405 00000, 0004613272 00000, 0012960928 00000, 0009957136 00000, 0012953843 00000, 0012553791 00000, 0012954045 00000, 0001950262 00000, 0009479356 00000, 0002919140 00000, 0012954231 00000, 0010296599 00000, 0006867906 00000, 0012134863 00000, 0009479154 00000, 0012957875 00000, 0012963053 00000, 0000964086 00000, (069) 987-4468, 0007858564 00000, 0008235418 00000, 0000963911 00000, 0004334605 00000, 0010771871 00000, 0007368015 00000, 0011629823 00000, 0005927814 00000, 0012961501 00000, 0006382763 00000, 0000478145 00000, 0008235799 00000, 0011128572 00000, 0005441515 00000, 0012953867 00000, 0012958254 00000, 0005022392 00000, 0005022217 00000, 0006382382 00000, 0001447146 00000, 0012134941 00000, 0001447123 00000, 0008738222 00000, 0012958827 00000, 0003838722 00000, 0011128494 00000, 0010771847 00000, 0009479542 00000, 0004334224 00000, 0010771949 00000, 0012959209 00000, 0007368114 00000, 12963441, 0009078715 00000, 0010772235 00000, 0000000016 00000, 0000963987 00000, 0012553427 00000, 0006382580 00000, 0009078537 00000, 0012553605 00000, 0004334323 00000, 0010772049 00000, 0005927913 00000, 0008235517 00000, 0009078901 00000, 0011629621 00000, 0012953945 00000, 0012958445 00000, 0005022194 00000, 0002918782 00000, 0012961119 00000, 0001949881 00000, 0012553403 00000, 0000477867 00000, 0003838821 00000, 0004334422 00000, 0000477965 00000, 0005928096 00000, 12954636, 0006868264 00000, 0005022575 00000, 0003839103 00000, 0003838745 00000, 0010296235 00000, 0012959973 00000, 0008738603 00000, 0004613295 00000, 0012963247 00000, 0010296313 00000, 0009078514 00000, 0007858762 00000, 0010296211 00000, 0008738321 00000, 0005441492 00000, 0012958636 00000, 0012958063 00000, 0012957775 00000, 0009956772 00000, 0012961889 00000, 0006382481 00000, 0012954526 00000, 0003353942 00000, 0011128858 00000, 0012959782 00000, 0012959591 00000, 0009479256 00000, 0009956850 00000, 0005927738 00000, 0007858587 00000, 0012960546 00000, 0005441591 00000, 0012553505 00000, 0009479178 00000, 0011629645 00000, 0008235616 00000, 0002433445 00000, 0001950079 00000, 0012960164 00000, 0012962471 00000, 0012135041 00000, 0008235441 00000, 0010296413 00000, 0012962277 00000, 0012134839 00000, 0000477793 00000, 0009956950 00000, 0012954575 00000, 0008738245 00000, 0002433064 00000, 0007368297 00000, 0006867883 00000, 0002918957 00000, 0004613371 00000, 0003353843 00000, 0006868081 00000, 0007367916 00000, 0002433087 00000, +256 393202011, 0001949980 00000, 0004334247 00000, 0011128470 00000, 0002433262 00000, 0002918858 00000, 0007858663 00000, 0012960737 00000, 0000964269 00000, 0003354041 00000, 0005441690 00000, 0001447222 00000, 0008738420 00000, 0001949904 00000, 0000963889 00000, +256 774245169, 0012959018 00000, 0004613470 00000, 0007858945 00000, 0005441873 00000",Banyan IT Solutions Ltd Tanzania
BCK Kenya Ltd,BUSINESS CONNEXION TANZANIA LTD,+255764904605,https://www.bck.co.ke,,"+254721902450, +254723885209, +255764904605","PLOT NO6 OPPKK SECURITY, DAR ES SALAM, TANZANIA"
Bharti Airtel International Netherlands B.V (Kenya Branch),Airtel Tanzania Ltd,+255758551694,https://www.airtel.africa,,"+254730611100, +255758551694, 254736675202","KAWAWA ROAD, AIRTEL HOUSE CORNER OF AH MWINYI ROAD, DAR ES SALAAM, TANZANIA"
BIGBEE TECHNOLOGY LTD,BIGBEE TECHNOLOGY LTD,+255759004747,https://www.bigbee.io/,,+255759004747,"3C, 3RD FLOOR, TANZANITE TOWER, DAR ES SALAAM, TANZANIA"
CATS TANZANIA LTD,CATS TANZANIA LTD,+255222137915,https://www.catsgroup.co.tz,,+255222137915,"P O BOX 2569, DAR ES SALAAM, TANZANIA"
