partner_name,site_name,site_phone,web_addr,address,search_extracted_emails,search_extracted_phones,_site_country
Aircom Systems Ltd,PETABYTE AIRCOM LTD TANZANIA,+255695547797,https://aircomglobal.com/,"VICTORIA PLAZA, 3RD FLOOR , SAMORA AVENUE AND MOROGORO ROAD JUNCTION CITY CENTER, DAR ES SALAAM, TANZANIA",,"+256754334182, +255695547797",TANZANIA
Alkan CIT Ethiopia,ALKAN CIT TANZANIA,+255765003795,https://www.alkancit.com/,"AMANI PLACE, OHIO STREET, 7TH FLOOR, OFFICE NUMBER -701,DAR ES SALAAM,TANZANIA, DAR ES SALAAM, TANZANIA",,"201228907098, +254722514546, +255765003795",TANZANIA
aplite consulting,APLITE CONSULTING,+255653320091,https://aplite.co.tz,"JOSIEM BUILDING OFFICE # 20, DODOMA, TANZANIA",,"+255653320091, +255629222777",TANZANIA
ARIES TECHNOLOGIES LTD,ARIES TECHNOLOGIES LTD,+255682595503,https://ariestechnologiesltd.co.tz/,"DAR ES SALAAM , TANZANIA, DAR ES SALAAM, TANZANIA",,+255682595503,TANZANIA
AVIT INTERNATIONAL EAST AFRICA,AVIT INTERNATIONAL TANZANIA,31617002731,https://www.avit.co.ke,"BEST ONE COMPLEX, SALASALA MBEZI BEACH , DAR ES SALAAM, TANZANIA",,"+251983030732, 31617002731",TANZANIA
BANYAN IT SOLUTIONS LTD,Banyan IT Solutions Ltd,,https://ira.go.ug/wp-content/uploads/2025/09/LIST-OF-IRA-PREQUALIFIED-PROVIDERS-FY-2025-2028.pdf,Banyan IT Solutions Ltd Tanzania,,"(069) 987-4468, +256 774245169, +256 393202011",
BCK Kenya Ltd,BUSINESS CONNEXION TANZANIA LTD,+255764904605,https://www.bck.co.ke,"PLOT NO6 OPPKK SECURITY, DAR ES SALAM, TANZANIA",,"+254721902450, +254723885209, +255764904605",TANZANIA
Bharti Airtel International Netherlands B.V (Kenya Branch),Airtel Tanzania Ltd,+255758551694,https://www.airtel.africa,"KAWAWA ROAD, AIRTEL HOUSE CORNER OF AH MWINYI ROAD, DAR ES SALAAM, TANZANIA",,"+254730611100, +255758551694, 254736675202",TANZANIA
BIGBEE TECHNOLOGY LTD,BIGBEE TECHNOLOGY LTD,+255759004747,https://www.bigbee.io/,"3C, 3RD FLOOR, TANZANITE TOWER, DAR ES SALAAM, TANZANIA",,+255759004747,TANZANIA
CATS TANZANIA LTD,CATS TANZANIA LTD,+255222137915,https://www.catsgroup.co.tz,"P O BOX 2569, DAR ES SALAAM, TANZANIA",,+255222137915,TANZANIA
COMPUTECH LIMITED,COMPUTECH ICS (T) LIMITED,2111010,https://www.computechlimited.com,"P O BOX 38057, DAR ES SALAAM, TANZANIA",,"00025641342910, 2111010, +254730141000, +250255115352",TANZANIA
COMPUTER CENTRE (TZ) LTD,COMPUTER CENTRE TANZANIA,+255222117730,https://WWW.CCTZ.COM,"Plot No 107/27, Opposite TDFL Building, Upanga Road, Dar es Salaam, TANZANIA",,"+255222117730, +251922467662",TANZANIA
Computer Connections Ltd,COMPUTER CONNECTIONS LTD,+255222602857,https://www.computertz.com,"GROUND FLOOR OASIS OFFICE PARK, PLOT 14/15 HAILE SELASSIE ROAD OYSTERBAY, DAR ES SALAAM, TANZANIA",,"+250789843143, +255222602857",TANZANIA
COMPUTER INFORMATION SYSTEMS,COMPUTER INFORMATION SYSTEMS Tanzania,+255764338095,https://groupcis.com/,"NDOVU ROAD #65, DAR EL SALAM, TANZANIA",,"+255764338095, +250252589558, +254717735444, +256414581022",TANZANIA
COMPUTER LEARNING CENTRE LIMITED,TANZANIA,+255683901203,https://www.clc-training.com/,"CHOLE ROAD, PLOT NO1935/4 MASAKI, DAR ES SALAAM, TANZANIA",,"+254205135250, +255683901203, 254713027191",TANZANIA
Crescent Tech Ltd,CRESCENT CLIENT SOLUTION LIMITED,254701198903,https://www.ctgafrica.com/,"PLOT # 1088, TOWER B, KIBASILA, DAR ES SALAAM , DAR ES SALAAM, TANZANIA",,"+254768281619, 254701198903",TANZANIA
DATACENTRIX SOLUTIONS LTD,DATACENTRIX SOLUTIONS LTD,+255685676800,https://www.datacentrixs.com/,"15 SOPHIA KAWAWA STREET, PLOT NO 942, BLOCK 157, DAR ES SALAAM, TANZANIA",,+255685676800,TANZANIA
DIMENSION DATA SOLUTIONS LTD,DIMENSION DATA TANZANIA LTD,+255222129147,https://services.global.ntt/en-us/new-404?searchTerm=ke,"FLOOR BARCLAYS HOUSE OHIO STREET 2ND, DAR ES SALAAM, TANZANIA",,"+250783417106, +255222129147, 254204993000, +254204993000, +256312313140, +25321321316",TANZANIA
DISTRICT30 LTD,DISTRICT30 LTD,+255767898735,https://district30.africa/,"2ND FLOOR - ZO SPACES PLOT NO 4 NEW BAGAMOYO ROAD KIJITONYAMA, DAR ES SALAAM, TANZANIA",,+255767898735,TANZANIA
Dolphin Professional Services Limited,DOLPHIN PROFESSIONAL SERVICES LTD,+255763527670,https://www.dolphin.co.tz,"WAKATIBADO/MANGO STREET BLOCK NO 45C PLOT NO 122, PLOT NO 122, DAR ES SALAAM, TANZANIA",,"+254712140144, +255763527670, 255763527670, +256759986825, +250788864852",TANZANIA
Double Click Consulting Ltd,DOUBLE CLICK CONSULTING LTD,,https://yahoo.uservoice.com/forums/193847-search,DOUBLE CLICK CONSULTING LTD Tanzania,,,
DOWN TO EARTH TECHNOLOGIES LTD,"Plot 10, block 41",254204343070,https://dte-tech.com/,"Kumbukumbu Street, Morocco, Kinondoni, DAR ES SALAAM, TANZANIA",,"+254204343070, 254204343070, 2540204343070",TANZANIA
Dynatech Solutions Ltd,DYNATECH SOLUTIONS LTD,+255713227249,https://dynatech.co.tz/,"PO BOX 12363, DAR ES SALAAM, TANZANIA",,+255713227249,TANZANIA
Emerging Communications Ltd,EMERGING COMMUNICATIONS LTD,+255715710092,http://www.e-com.co.tz/,"P.O. BOX 42133, DAR ES SALAAM, TANZANIA",,+255715710092,TANZANIA
ENVOTEC SERVICES LTD,ENVOTEC SERVICES LTD,+255767605137,https://www.envotec.co.tz/,"LUICH STREET, DAR ES SALAAM, DAR ES SALAAM, TANZANIA",,+255767605137,TANZANIA
FIKRANOVA COMPANY LTD,FIKRANOVA COMPANY LTD,,https://www.three.com/,FIKRANOVA COMPANY LTD Tanzania,,,
Freedom Computers Limited,FREEDOM COMPUTERS LTD,+255686777501,https://www.freedomuhuru.com,"7/20 UHURU STREET, DAR ES SALAAM, TANZANIA",,+255686777501,TANZANIA
IBM East Africa Limited,IBM TANZANIA LTD,0,https://www.ibm.com/in-en,"Amani Place, 7th Floor, DAR ES SALAAM, TANZANIA",,"0, +254202834000",TANZANIA
Infogear Technology Limited,Upanga Office,+255786753452,https://www.infogear.co.tz/,"GIRL GUIDES BUILDING, 1ST FLR, PLOT NO 1088 OFFICE D-JD-113, KIBASILA ROAD, UPANGA, DAR ES SALAAM, TANZANIA",,+255786753452,TANZANIA
INFOSEC T LTD,INFOSEC T LTD,+255673240533,https://www.infosec.co.tz,"PLOT NO 300, BLOCK J, OASIS VILLAGE, MBEZI BEACH B, DAR ES SALAAM, TANZANIA",,+255673240533,TANZANIA
Infosys,INFOSYS IPS T LTD,+255222664221,https://www.infosys.co.tz,"MWINDU LANE ST OFF KINONDONI RD, DAR ES SALAAM, TANZANIA",,"+255222664219, +255222664221",TANZANIA
INVENTIONS TECHNOLOGIES CO. LTD,INVENTIONS TECHNOLOGIES COMPANY LTD,+255222775873,https://www.it.co.tz,"LUKULEDI STREET REGENT ESTATE 219, DAR ES SALAAM, TANZANIA",,+255222775873,TANZANIA
ISON TECHNOLOGIES KENYA LTD,ISON TECHNOLOGIES TANZANIA LTD,+255789888114,https://www.isontechnologies.com/,"FK HOUSE, 23 BARACK OBAMA DRIVE, DAR ES SALAAM, TANZANIA",,"+254732198000, +255789888114, 25641233700, 25173219800",TANZANIA
IVO SOLUTIONS LTD,IVO SOLUTIONS LIMITED,+255712001236,https://www.ivosolutions.co.tz/,"ALFA PLAZA, 4TH FLOOR, OFFICE SUITE 401, ALI HASSAN MWINYI ROAD, DAR ES SALAAM, TANZANIA",,"+255712001236, +256200912182",TANZANIA
JEIS Industries Company LTD,JEIS INDUSTRIES COMPANY LTD,+255659505056,https://www.jeis.co.tz/,"BOKO BEACH, DAR ES SSALAAM, DAR ES SSALAAM, TANZANIA",,"+255754711105, +255659505056",TANZANIA
KALAMU TECHNOLOGIES AND ENGINEERING COMPANY LTD,KALAMU TECHNOLOGIES AND ENGINEERING COMPANY LTD,+255764550300,https://kalamutech.co.tz,"PO BOX 71431 DAR ES SALAAM, PWANI STREET, TEGETA - DAR ES SALAAM, DAR ES SALAAM, TANZANIA",,+255764550300,TANZANIA
Konvergenz Network Solutions Ltd,konvergenz Network Solutions Limited,,https://konvergenz.co.ke/our-solutions/,konvergenz Network Solutions Limited Tanzania,,,
MANTRA TECHNOLOGIES LTD,MANTRA TECHNOLOGIES LTD,,https://yahoo.uservoice.com/forums/193847-search,MANTRA TECHNOLOGIES LTD Tanzania,,"+256 774245169, 06887689, +256 393202011, 068876890002",
MATLUCKY COMPANY LTD,MATLUCKY COMPANY LTD,+255764813005,https://www.matlucky.co.tz,"JUED BUSINESS CENTRE , PLOT 486, 486 ROSE GARDEN RD, MIKOCHENI, DAR ES SALAAM, DAR ES SALAAM, TANZANIA",,+255764813005,TANZANIA
MFI Document Solutions limited,MFI DOCUMENT SOLUTIONS LTD,00255784504623,https://www.groupmfi.com,"NKARUMA ROAD, DAR ES SALAAM, TANZANIA",,"+250788305012, +256414308000, +254203251777, 00255784504623, +251921307035",TANZANIA
PALLADIUM TECH TANZANIA LTD,PALLADIUM TECH TANZANIA LTD,+255761441441,https://palladiumtech.co.tz/,"HOUSE NO 5, MARY CLOSE STREET JANGWANI AFRICANA, MBEZI BEACH DAR ES SALAAM, DAR ES SALAAM, TANZANIA",,+255761441441,TANZANIA
PAONES GENERAL TRADING COMPANY LIMITED,PAONES GENERAL TRADING COMPANY LIMITED,+255694704527,https://www.paones.co.tz/cgi-sys/suspendedpage.cgi,"SAMORA AVENUE, POSTA PO BOX 9651 DAR ES SALAAM, DAR ES SALAAM, TANZANIA",,"+255694704527, +255766628854",TANZANIA
PI 227 TANZANIA LTD,PI 227 TANZANIA LTD,+255658044544,https://www.pi227africa.com/,"MISSION STREET, PSSSF TWIN TOWER, 5TH FLOOR WING B, DAR ES SALAAM, TANZANIA",,+255658044544,TANZANIA
