partner_name,site_name,site_phone,web_addr,extracted_emails,extracted_phones,address
AIRTEL NETWORKS ZAMBIA PLC,AIRTEL NETWORKS ZAMBIA PLC,+260978981816,https://www.airtel.co.zm/,,"+261331100100, +260978981816, +2484600600","STAND 2375 C/O GREAT EAST ROAD AND ADDIS ABABA DRIVE, LUSAKA, ZAMBIA"
Blue Lithium Communication Limited,BLUE LITHIUM COMMUNICATION LTD,+260211269808,https://www.blue-lithium.com/home,info@blue-lithium.com,"+260-211-269808, +260211269808","FIRST FLOOR SOUTHERN WING - UCZ SYNOD BUILDING, MOSI-O-TUNYA ROAD, LUSAKA, LUSAKA, ZAMBIA"
BORNGATES VENTURES LTD,BORNGATES VENTURES LTD,+260975288036,https://www.borngatesventureslimited.com,,+260975288036,"20, BROCCOLI STREET, LUSAKA, ZAMBIA"
BRAVO TECHNOLOGY ZAMBIA LTD,BRAVO TECHNOLOGY ZAMBIA LTD,+260974367231,https://bravotechafrica.com/,sales@bravotechafrica.com,+260974367231,"47 ECL MALL, PARKLAND, KITWE, ZAMBIA"
BT Global Services,BT SOLUTIONS ZAMBIA,270117985044,https://www.bt.com,,"270117985044, 03313653065","COUNTING HOUSE SQUARE, THABO MBEKI, LUSAKA, ZAMBIA"
BUSINESS CONNEXION (EMERGING SOUTHERN AFRICA),BUSINESS CONNEXION PTY LTD ZAMBIA,+260211256346,http://www.bcx.co.za,,"(0) 11 266 5000, (0) 11 266 5111, +2673918374, +260211256346, +264612040000, +258848035395, (0) 11 266 1000","12 KALEMBWE CLOSE, LUSAKA, ZAMBIA"
Cable Network Solutions,CABLE NETWORK SOLUTIONS,+260955847117,https://www.cablenetwork.co.zm/,,+260955847117,"4 MPULUNGU ROAD, OLYMPIA PARK, LUSAKA, ZAMBIA"
Carerra Holdings Pty Ltd.,Carerra Holdings Limited,0771946887,https://www.carerra.co/,admin@carerra.co,"+260 771946887, +260 772610005, +267 311 2661, +2673112661, 0771946887","Stand No. 6033, Northmed, Great East Road, RADIAN RETAIL PARK , Lusaka, ZAMBIA"
CELIUM,CELIUM,+260979001463,https://celiumzm.com/,,+260979001463,"288A, OFF KUDU ROAD, KABULONGA, LUSAKA, ZAMBIA, LUSAKA, ZAMBIA"
Clayton Communications Zambia,CLAYTON COMMUNICATIONS ZAMBIA,27827422479,https://www.clayton.africa,,27827422479,"5 MWALESHI ROAD, LUSAKA, ZAMBIA"
CLOUDNET SOLUTIONS LIMITED,CLOUDNET SOLUTIONS LIMITED,+260978483965,https://cloudnetsolutionsltd.com/,sales@cloudnetsolutionsltd.com,+260978483965,"AT IBEX HILL PLOT 2761100 LUSAKA, LUSAKA, ZAMBIA"
CLOVERLEAF DYNAMICS LTD,CLOVERLEAF DYNAMICS LTD,+260955228262,https://cloverleafdynamics.com/,,"+260955228262, +260966754196","POBOX 33993, PHI EMUTUZI COMPLEX, LUSAKA, ZAMBIA"
"COMPLETE ENTERPRISE SOLUTIONS MOZAMBIQUE, LIMITADA",COMPLETE ENTERPRISE SOLUTIONS ZAMBIA,+260211264304,https://ces-africa.com/,,"+26461303999, +258843014540, +260211264304","PLOT 417 CHINDU ROAD, LUSAKA, ZAMBIA"
Complete Enterprise Solutions Zambia,COMPLETE ENTERPRISE SOLUTIONS ZAMBIA,+260211264304,https://www.ces-africa.com,,+260211264304,"UNIT 2, LA BELVA COURT, 417 CHINDO ROAD, LUSAKA, ZAMBIA"
Computech Zambia Limited,COMPUTECH ZAMBIA LTD,2602112398012,https://www.computechlimited.com,,2602112398012,"RHODESPARK, PLOT 46 JOSEPH MWILWA ROAD, LUSAKA, ZAMBIA"
COMVIVA TECHNOLOGIES MADAGASCAR,TECH MAHINDRA LTD,918374783958,https://www.comviva.com/,,"918374783958, 2930500","HSE 8 TITO RD, RHODES PARK, LUSAKA, ZAMBIA"
CYNARA CONCEPTS LTD,CYNARA CONCEPTS LTD,776595613,https://cynaraconcepts.com/,,776595613,"609 CENTRAL STREET, CHUDLEIGH, LUSAKA ZAMBIA, LUSAKA, ZAMBIA"
DECKER AFRICA LTD,DECKER AFRICA LTD,+260968196066,https://deckerafrica.com/,,+260968196066,"UNIT 76 FOXDALE RESIDENTIAL, ZAMBEZI ROAD, LUSAKA, ZAMBIA"
DIMENSION DATA,DIMENSION DATA ZAMBIA,+260211356759,https://services.global.ntt/en-us/new-404?searchTerm=bw,,"+260211356759, +25821482600, +244923376376, +2673909001","Office 301, Floor 3,  Plot Number 15584/2,, Katima Mulilo Road, Olympia., LUSAKA, ZAMBIA"
HAVILAH TRADING LTD,HAVILAH TRADING LTD,+260966745656,https://havilah.co.zm/,info@havilah.co.zm,+260966745656,"PLOT 57830 KUMPILI ROAD STATE LODGE, LUSAKA, LUSAKA, ZAMBIA"
IBM Emerging Africa Limited,IBM ZAMBIA LTD,27113027036,https://www.ibm.com/in-en,,"27113027036, 0, +2304607900","INDEPENDENCE AVENUE, 3RD 74 FLOOR MPILE OFFICE PARK, LUSAKA, ZAMBIA"
INFOSYSTEMS AA LTD,ANGLO AFRICAN ZAMBIA LTD,+260973083173,https://infosystems.mu/,,"+263775855504, 09089547, +261202239606, +23057273782, +260973083173","35A, KUDU ROAD, LUSAKA, ZAMBIA"
Integral Systems Limited,INTEGRAL SYSTEMS LTD,+260977473546,https://www.integralsystemsltd.com,sales@integralsystemsltd.com,"+260 979 300535, +260 764 984033, +260977473546, +260211290077, +260 977 581297, +260 211 290077, +260 211290077","PLOT 4534/5 UNDI CLOSE, THORNPARK, LUSAKA, ZAMBIA"
IT-IQ Botswana (PTY) Limited,IT-IQ ZAMBIA,+260211250307,https://www.itiq.tech,,"+260211250307, +260 97 066 5360, +2673181684, +267 318 1684, +267 730 00505, +260 211 250307","15 LAGOS ROAD, GARDEN VIEW PROPERTIES, LUSAKA, ZAMBIA"
JODACOM TECH SOLUTIONS LTD,JODACOM TECH SOLUTIONS LTD,+260972345993,https://jodacomtechsolutions.com/,jts@jodacomtechsolutions.com,+260972345993,"26161, GIVEN LUBINDA STREET, ROCKFIELD, CHALALA, NEXT SOLUTIONS LIMITED, LUSAKA, ZAMBIA"
KENAC COMPUTER SYSTEMS,Kenac Computer Systems,750764444,https://www.kenac.co.zw/,,"750764444, +26772774924, +2638677000818","LUSAKA SUNSHARE TOWER, 9TH FLOOR SUNSHARE TOWER, STAND NOLN-15584/1, LUSAKA, ZAMBIA"
KWICK FOX SOLUTIONS LTD,KWICK FOX SOLUTIONS LTD,+260977178916,https://www.kwickfox.co.zm,,+260977178916,"F/610 FOXDALE, LUSAKA, ZAMBIA"
Liquid Intelligent Technologies Zambia,LIQUID INTELLIGENT TECHNOLOGIES ZAMBIA,+260211374632,https://zm.liquidhome.tech/,,+260211374632,"ELUNDA II BUILDING 3RD FLOOR LONGACRES, LUSAKA, LUSAKA, ZAMBIA"
MFI Document Solutions Ltd,MFI DOCUMENT SOLUTIONS,+260211256534,https://www.groupmfi.com,,+260211256534,"PLOT 1193,LUNZUA ROAD,, P O BOX 31665, LUSAKA, ZAMBIA"
Micronics Consulting (Z) Ltd,MICRONICS CONSULTING Z LTD,+260955491371,"https://Plot 65766, Airport Rd Postnet 274, P/B E10, Arcades Lusaka",,+260955491371,"SILICON HOUSE, PLOT 2350/M57 , AIRPORT ROAD, ZAMBIA, PO BOX 35045, LUSAKA, ZAMBIA"
MICROSOURCE LTD,MICROSOURCE LTD,+260211220395,https://www.microsourceltd.com/,sales@microsource.co.zm,"971081757, +260 211 220395, +260211220395","46, KWACHA ROAD, OPP OLYMPIA SCHOOL, OLYMPIA PARK, OLYMPIA PARK, LUSAKA, ZAMBIA"
MTN BUSINESS,MTN ZAMBIA,+260966750750,https://www.mtn.com/,,"+260966750750, +2673188967","PLOT NO A/255/609, ZAMBEZI ROAD, LUSAKA, ZAMBIA"
NetOne I.T Limited,NETONE INFORMATION TECHNOLOGY,+260211372600,http://www.netone.co.zm/netoneit/index.php,,"+260211372600, +260211293172","PLOT NO12553 ZAMBEZI ROAD, LUSAKA, ZAMBIA"
NETROOTS CONSULTING LTD,NETROOTS CONSULTING LTD,+260971775125,https://netrootsconsulting.com/,,+260971775125,"20158, WATER WORKS STREET, LIBALA SOUTH, LUSAKA, LUSAKA PROVINCE, ZAMBIA, LUSAKA, ZAMBIA"
ONETECH ZAMBIA LIMITED,ONETECH ZAMBIA LTD,+260968793352,https://onetech.skyageitsolutions.com/,,+260968793352,"PLOT NO 687, OFF MUMBWA ROAD GARDEN SHALOM, LUSAKA, ZAMBIA, LUSAKA, ZAMBIA"
