partner_name,site_name,site_phone,web_addr,address,search_extracted_emails,search_extracted_phones,_site_country
AIRTEL NETWORKS ZAMBIA PLC,AIRTEL NETWORKS ZAMBIA PLC,+260978981816,https://www.airtel.co.zm/,"STAND 2375 C/O GREAT EAST ROAD AND ADDIS ABABA DRIVE, LUSAKA, ZAMBIA",,"+261331100100, +260978981816, +2484600600",ZAMBIA
Blue Lithium Communication Limited,BLUE LITHIUM COMMUNICATION LTD,+260211269808,https://www.blue-lithium.com/home,"FIRST FLOOR SOUTHERN WING - UCZ SYNOD BUILDING, MOSI-O-TUNYA ROAD, LUSAKA, LUSAKA, ZAMBIA",,+260211269808,ZAMBIA
BORNGATES VENTURES LTD,BORNGATES VENTURES LTD,+260975288036,https://www.borngatesventureslimited.com,"20, BROCCOLI STREET, LUSAKA, ZAMBIA",,+260975288036,ZAMBIA
BRAVO TECHNOLOGY ZAMBIA LTD,BRAVO TECHNOLOGY ZAMBIA LTD,+260974367231,https://bravotechafrica.com/,"47 ECL MALL, PARKLAND, KITWE, ZAMBIA",,+260974367231,ZAMBIA
BT Global Services,BT SOLUTIONS ZAMBIA,270117985044,https://www.bt.com,"COUNTING HOUSE SQUARE, THABO MBEKI, LUSAKA, ZAMBIA",,"270117985044, 03313653065",ZAMBIA
BUSINESS CONNEXION (EMERGING SOUTHERN AFRICA),BUSINESS CONNEXION PTY LTD ZAMBIA,+260211256346,http://www.bcx.co.za,"12 KALEMBWE CLOSE, LUSAKA, ZAMBIA",,"+260211256346, +2673918374, +264612040000, +258848035395",ZAMBIA
Cable Network Solutions,CABLE NETWORK SOLUTIONS,+260955847117,https://www.cablenetwork.co.zm/,"4 MPULUNGU ROAD, OLYMPIA PARK, LUSAKA, ZAMBIA",,+260955847117,ZAMBIA
Carerra Holdings Pty Ltd.,Carerra Holdings Limited,0771946887,https://www.carerra.co/,"Stand No. 6033, Northmed, Great East Road, RADIAN RETAIL PARK , Lusaka, ZAMBIA",,"+2673112661, 0771946887",ZAMBIA
CELIUM,CELIUM,+260979001463,https://celiumzm.com/,"288A, OFF KUDU ROAD, KABULONGA, LUSAKA, ZAMBIA, LUSAKA, ZAMBIA",,+260979001463,ZAMBIA
Clayton Communications Zambia,CLAYTON COMMUNICATIONS ZAMBIA,27827422479,https://www.clayton.africa,"5 MWALESHI ROAD, LUSAKA, ZAMBIA",,27827422479,ZAMBIA
CLOUDNET SOLUTIONS LIMITED,CLOUDNET SOLUTIONS LIMITED,+260978483965,https://cloudnetsolutionsltd.com/,"AT IBEX HILL PLOT 2761100 LUSAKA, LUSAKA, ZAMBIA",,+260978483965,ZAMBIA
CLOVERLEAF DYNAMICS LTD,CLOVERLEAF DYNAMICS LTD,+260955228262,https://cloverleafdynamics.com/,"POBOX 33993, PHI EMUTUZI COMPLEX, LUSAKA, ZAMBIA",,+260955228262,ZAMBIA
"COMPLETE ENTERPRISE SOLUTIONS MOZAMBIQUE, LIMITADA",COMPLETE ENTERPRISE SOLUTIONS ZAMBIA,+260211264304,https://ces-africa.com/,"PLOT 417 CHINDU ROAD, LUSAKA, ZAMBIA",,"+26461303999, +258843014540, +260211264304",ZAMBIA
Complete Enterprise Solutions Zambia,COMPLETE ENTERPRISE SOLUTIONS ZAMBIA,+260211264304,https://www.ces-africa.com,"UNIT 2, LA BELVA COURT, 417 CHINDO ROAD, LUSAKA, ZAMBIA",,+260211264304,ZAMBIA
Computech Zambia Limited,COMPUTECH ZAMBIA LTD,2602112398012,https://www.computechlimited.com,"RHODESPARK, PLOT 46 JOSEPH MWILWA ROAD, LUSAKA, ZAMBIA",,2602112398012,ZAMBIA
COMVIVA TECHNOLOGIES MADAGASCAR,TECH MAHINDRA LTD,918374783958,https://www.comviva.com/,"HSE 8 TITO RD, RHODES PARK, LUSAKA, ZAMBIA",,"918374783958, 2930500",ZAMBIA
CYNARA CONCEPTS LTD,CYNARA CONCEPTS LTD,776595613,https://cynaraconcepts.com/,"609 CENTRAL STREET, CHUDLEIGH, LUSAKA ZAMBIA, LUSAKA, ZAMBIA",,776595613,ZAMBIA
DECKER AFRICA LTD,DECKER AFRICA LTD,+260968196066,https://deckerafrica.com/,"UNIT 76 FOXDALE RESIDENTIAL, ZAMBEZI ROAD, LUSAKA, ZAMBIA",,+260968196066,ZAMBIA
DIMENSION DATA,DIMENSION DATA ZAMBIA,+260211356759,https://services.global.ntt/en-us/new-404?searchTerm=bw,"Office 301, Floor 3,  Plot Number 15584/2,, Katima Mulilo Road, Olympia., LUSAKA, ZAMBIA",,"+260211356759, +25821482600, +244923376376, +2673909001",ZAMBIA
HAVILAH TRADING LTD,HAVILAH TRADING LTD,+260966745656,https://havilah.co.zm/,"PLOT 57830 KUMPILI ROAD STATE LODGE, LUSAKA, LUSAKA, ZAMBIA",,+260966745656,ZAMBIA
IBM Emerging Africa Limited,IBM ZAMBIA LTD,27113027036,https://www.ibm.com/in-en,"INDEPENDENCE AVENUE, 3RD 74 FLOOR MPILE OFFICE PARK, LUSAKA, ZAMBIA",,"27113027036, 0, +2304607900",ZAMBIA
INFOSYSTEMS AA LTD,ANGLO AFRICAN ZAMBIA LTD,+260973083173,https://infosystems.mu/,"35A, KUDU ROAD, LUSAKA, ZAMBIA",,"+261202239606, +260973083173, +263775855504, +23057273782",ZAMBIA
Integral Systems Limited,INTEGRAL SYSTEMS LTD,+260977473546,https://www.integralsystemsltd.com,"PLOT 4534/5 UNDI CLOSE, THORNPARK, LUSAKA, ZAMBIA",,"+260977473546, +260211290077",ZAMBIA
IT-IQ Botswana (PTY) Limited,IT-IQ ZAMBIA,+260211250307,https://www.itiq.tech,"15 LAGOS ROAD, GARDEN VIEW PROPERTIES, LUSAKA, ZAMBIA",,"+260211250307, +2673181684",ZAMBIA
JODACOM TECH SOLUTIONS LTD,JODACOM TECH SOLUTIONS LTD,+260972345993,https://jodacomtechsolutions.com/,"26161, GIVEN LUBINDA STREET, ROCKFIELD, CHALALA, NEXT SOLUTIONS LIMITED, LUSAKA, ZAMBIA",,+260972345993,ZAMBIA
KENAC COMPUTER SYSTEMS,Kenac Computer Systems,750764444,https://www.kenac.co.zw/,"LUSAKA SUNSHARE TOWER, 9TH FLOOR SUNSHARE TOWER, STAND NOLN-15584/1, LUSAKA, ZAMBIA",,"750764444, +26772774924, +2638677000818",ZAMBIA
KWICK FOX SOLUTIONS LTD,KWICK FOX SOLUTIONS LTD,+260977178916,https://www.kwickfox.co.zm,"F/610 FOXDALE, LUSAKA, ZAMBIA",,+260977178916,ZAMBIA
