partner_name,site_name,site_phone,web_addr,extracted_emails,extracted_phones,address
ACSC,ACSC,+96822701000,https://www.acsc.com.om,sales@acsc.com.om,+96822701000,"OFFICE NO4, GROUND FLOOR, OCEANA BUILDING, AL GHUBRA, MUSCAT, OMAN"
Al Afnan Computers,AL AFNAN COMPUTERS,+96824544397,https://www.alafnan.net,,+96824544397,"PO BOX 578, AL KHOUD, OMAN"
Al Khalili United Enterprises,AL KHALILI UNITED ENTERPRISES,+96822035007,https://www.alkhalili.com/,info@alkhalili.com,"2019
2018
2017, +96899376481, +968 2449 7137, +96822035007, 80078899, +96822035000","AL WADHI AL KABIR, MUSCAT, OMAN"
AL-NAHLA SOLUTIONS,AL-NAHLA SOLUTIONS,+96824485748,https://www.alnahlasolutions.com,,"+96824485748, +968 24485748","AL-KHUWAIR, MUSCAT, OMAN"
ALMOAYYED INTERNATIONAL LLC,ALMOAYYED INTERNATIONAL LLC,+96824727476,https://www.almoayyedintl.com/,info@almoayyedintl.com,"+973 1770 1211, +96824727476, +973 1770 0777","OFFICE 307 1ST FLOOR, AL MUTHANA SQUARE, PO BOX 1439, POSTAL CODE 131, WADI KABIR,, MUSCAT, OMAN"
ALNOWRAS IT SOLUTION SPC,ALNOWRAS IT SOLUTION LLC,+96897436155,https://www.alnowrasit.com/,,+96897436155,"Office Number 116, Maktabi Building 1st Floor, Al Wattayah, Muscat, Oman, MUSCAT, OMAN"
Awasr Oman And Partners SAOC,AWASR OMAN AND PARTNERS SAOC,+96824166300,https://www.awasr.om/en/package/journey/ZVANH?promotionTerm=24,,+96824166300,"KOM5,4TH FLOOR, MUSCAT, OMAN"
BADEM MIDDLE EAST LLC,BADEM MIDDLE EAST LLC,+96898912343,https://bademoman.com/,info@bademoman.com,+96898912343,"OFFICE 1991, UNIT 714, AL GHUBRA ST, MUSCAT, OMAN"
BAHWAN IT LLC,BAHWAN IT LLC,+96824650336,https://www.bahwanit.com/,info@bahwanit.com,"+96824650336, +968-24650366, +968-24650311","NASRA AL LAMKI, AL RAWAQ BUILDING, 5TH FLOOR, AL-QURUM, MUSCAT, OMAN"
BEN AMER PROJECTS AL MAAMARI UNITED LLC,BEN AMER PROJECTS AL MAAMARI UNITED LLC,+96891120555,https://toptecno.om/,sales@toptecno.om,"22013470, +96891120555, (968) 96991099","3353 SEEB, MUSCAT, OMAN"
