partner_name,site_name,site_phone,web_addr,address,search_extracted_emails,search_extracted_phones
ACSC,ACSC,+96822701000,https://www.acsc.com.om,"OFFICE NO4, GROUND FLOOR, OCEANA BUILDING, AL GHUBRA, MUSCAT, OMAN",,+96822701000
Al Afnan Computers,AL AFNAN COMPUTERS,+96824544397,https://www.alafnan.net,"PO BOX 578, AL KHOUD, OMAN",,+96824544397
Al Khalili United Enterprises,AL KHALILI UNITED ENTERPRISES,+96822035007,https://www.alkhalili.com/,"AL WADHI AL KABIR, MUSCAT, OMAN",,+96822035007
AL-NAHLA SOLUTIONS,AL-NAHLA SOLUTIONS,+96824485748,https://www.alnahlasolutions.com,"AL-KHUWAIR, MUSCAT, OMAN",,+96824485748
ALMOAYYED INTERNATIONAL LLC,ALMOAYYED INTERNATIONAL LLC,+96824727476,https://www.almoayyedintl.com/,"OFFICE 307 1ST FLOOR, AL MUTHANA SQUARE, PO BOX 1439, POSTAL CODE 131, WADI KABIR,, MUSCAT, OMAN",,+96824727476
ALNOWRAS IT SOLUTION SPC,ALNOWRAS IT SOLUTION LLC,+96897436155,https://www.alnowrasit.com/,"Office Number 116, Maktabi Building 1st Floor, Al Wattayah, Muscat, Oman, MUSCAT, OMAN",,+96897436155
Awasr Oman And Partners SAOC,AWASR OMAN AND PARTNERS SAOC,+96824166300,https://www.awasr.om/en/package/journey/ZVANH?promotionTerm=24,"KOM5,4TH FLOOR, MUSCAT, OMAN",,+96824166300
BADEM MIDDLE EAST LLC,BADEM MIDDLE EAST LLC,+96898912343,https://bademoman.com/,"OFFICE 1991, UNIT 714, AL GHUBRA ST, MUSCAT, OMAN",,+96898912343
BAHWAN IT LLC,BAHWAN IT LLC,+96824650336,https://www.bahwanit.com/,"NASRA AL LAMKI, AL RAWAQ BUILDING, 5TH FLOOR, AL-QURUM, MUSCAT, OMAN",,+96824650336
BEN AMER PROJECTS AL MAAMARI UNITED LLC,BEN AMER PROJECTS AL MAAMARI UNITED LLC,+96891120555,https://toptecno.om/,"3353 SEEB, MUSCAT, OMAN",,+96891120555
