Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,In stock?,Stock,Regular price,Sale price,Categories,Images
simple,PC12DB,Test Product,1,0,visible,,,1,100,10.00,5.00,,
simple,FA319DCUHD,HEAVY DUTY FIXED SPEED AC | D SERIES |  1.6 TON |  3 STAR | 2025 BEE LABEL,1,0,visible,,,1,100,58000.00,45990.00,Air Conditioners,"https://cdn.shopify.com/s/files/1/0888/8297/0937/files/Gallery_Image_01_1427d247-b44f-4d30-9d02-db15a711be87.png, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/Gallery_Image_02_84933dfe-9927-4409-9092-8bf52f1e25fc.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/Gallery_Image_03_3a29b642-0220-4d1c-b2be-56efeeb254e7.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/HP_FS_ODU_Front_1.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/HP_FS_ODU_Left_2_0.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/HP_FS_ODU_Right_2_0.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/D-Series_Remote-_Fix_Speed_0.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/BEE_Label_FA319DCUHD.jpg"
simple,IA518ZXUS,INVERTER AC | Z SMART WI-FI SERIES | 1.5 TON | 5 STAR | 2026 BEE LABEL,1,0,visible,,,1,100,75000.00,48990.00,Air Conditioners,"https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages01_7303814c-596b-468f-8759-cf87cede5a56.png, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages02_f6734550-7187-49b9-a4ba-fec3a76b848b.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages03_45755100-3468-4585-985b-74ab68cc2a83.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages04_57924b06-263d-40a2-ac1c-4d2f9fd83004.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages05_c17585bb-21ff-4939-b1a2-2f03377a2672.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages06_c4a85dae-17b9-437e-8c17-80de2d3f9fb8.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages07_c44b1ed5-d693-4a25-bbed-53c839b71498.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages08_b6bbb139-d9de-4785-9cd0-da7331ba8041.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/Galley_BEE_Label.jpg"
simple,IA312DXU,INVERTER AC | D SERIES | 1 TON | 3 STAR | 2026 BEE LABEL,1,0,visible,,,1,100,49000.00,33490.00,Air Conditioners,"https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages01_4713f8aa-0081-494d-9e81-ff31d7772238.png, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages02_0762821f-93b9-41ff-9d78-19daa235dd0c.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages03_2aaafab0-f266-44f8-bb1c-9b129901b50c.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages04_6c77e8a7-d5ad-494e-b80a-ff9e1f04f349.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages05_24c4f6bb-6d79-480b-ba09-b10b7c6b7820.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages06_1c5477b3-2638-42e9-91b3-d4e4b6d28400.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages07_f62c9629-c83c-4bd7-99c6-78d230781590.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages08_16586e77-22e8-447c-a90d-1a174b3c8ff9.jpg"
simple,IA318IXUS,INVERTER AC |  ICONIA SERIES - MIDNIGHT SILVER |  1.5 TON |  3 STAR | 2026 BEE LABEL,1,0,visible,,,1,100,70000.00,40990.00,Air Conditioners,"https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages01_ca918020-7737-49e4-add9-6b02c576b8f8.png, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages02_b1f62bc5-4506-4629-b94d-d06fbce19a9e.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages03_f8e129a5-e32e-4fb6-bf07-1ec2c527e271.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages04_acba9a06-03fb-4d14-a14b-573429e20841.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages05_9fb6c591-9faf-4634-9401-2a2216e23cf7.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages06_98da1df5-3abd-42dd-9a50-0833c9cf86ed.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages07_136963ac-33eb-40d8-8dee-ebe6ced4b700.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/Iconia-Remote_1.png, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/Gallery_Images_09_IA318IXUS.jpg"
simple,HT3-N230,N Series | Hard Top | Deep Freezer | 215 Litres  | 3 Star | 2026 BEE LABEL,1,0,visible,,,1,100,33200.00,21700.00,Deep Freezers,"https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages01_4d80bccb-15cf-487a-9f8d-5564555309eb.png, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages02_8bb08a41-dbaf-4f89-a928-14c4ffadd5e9.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages03_e3f7637f-bf72-4215-9984-1ebbd98c310d.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages04_e0fc3b63-68e5-477f-94a7-6280e878de09.jpg"
simple,HT3-N180,N Series | Hard Top | Deep Freezer | 161 Litres  | 3 Star | 2026 BEE LABEL,1,0,visible,,,1,100,28700.00,19700.00,Deep Freezers,"https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages01_c3a7d378-9822-486d-8b28-dfdc0d12de18.png, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages02_fcf8a7fc-42a9-4dce-b852-c2212d41e5f8.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages03_f2f1ad92-3639-4b0c-b66e-62e256c774b5.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages04_0bb222ee-8b76-40e7-aa28-eec5343426b1.jpg"
simple,IB312QXFT,IB312QXFT | 1 TON | 3 STAR | FIELD TRIAL UNIT,1,0,visible,,,1,100,49500.00,24000.00,exclude-from-search,"https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImage01_97ff6d9b-70ad-43cd-896c-029307ac2e4e.png, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImage02_b8f1a9ea-90d2-401a-8723-aeaa8d1a8ab3.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImage03_776f5996-aa10-4342-a66d-66921d2ea277.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImage04_ad1d8813-bcf4-497f-9a82-af91ab3f8151.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImage05_aabe7406-d102-4a75-8723-b052fd318a6e.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImage06_2e02b425-51c2-48da-aeb6-6e78cf49aaba.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImage07_f1d9be43-0a78-4f8f-aa7f-6715025e1e79.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImage08_2e0818ba-bce6-4033-a154-c165eee6c33f.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImage09_30592244-922f-45d7-843a-09dcb86b968d.jpg"
simple,IA518VXUS,INVERTER AC | V SMART WI-FI SERIES | 1.5 TON | 5 STAR | 2026 BEE LABEL,1,0,visible,,,1,100,75500.00,48990.00,Air Conditioners,"https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages01_562df681-70c9-4a5c-91c5-0deac28df010.png, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages02_37b4d6e9-ae95-4efe-93de-667e344b4175.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages03_c24dd167-81b6-4424-8d98-627b3f57a137.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages04_3a005251-e68a-4060-9636-a907c088b422.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages05_103a2f5e-2f47-487c-b796-5dee7e9df3b3.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages06_e7be9a49-dd72-421b-943a-a174cf47e81e.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages07_f5a89e69-ea9e-4380-9704-c129bf69ae4c.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/Gallery_Images_08_IA518VXUS.jpg"
simple,IC318VNUS,INVERTER AC | V SMART WI-FI SERIES |  1.5 TON |  3 STAR | 2025 BEE LABEL,1,0,visible,,<p>Experience unmatched smart cooling as this 3 Star smart AC incorporates extraordinary features like voice command technology;   anti-microbial filter;   5-in-1 convertible cooling;   wifi enabled technology and anti-corrosive blue fins for protection.</p>,1,100,59400.00,37290.00,Air Conditioners,"https://cdn.shopify.com/s/files/1/0888/8297/0937/files/ic318vnus_ic318vnus-gallery-images-01.png, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/ic318vnus_ic318vnus-gallery-images-02.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/ic318vnus_ic318vnus-gallery-images-03.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/ic318vnus_ic318vnus-gallery-images-04.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/ic318vnus_ic318vnus-gallery-images-05.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/ic318vnus_ic318vnus-gallery-images-06.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/ic318vnus_ic318vnus-gallery-images-07.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/IC318VNUS_08.jpg"
