partner_name,site_name,address,site_id
Logo,LOGO MONTENEGRO DOO,   ,4149665
A. Lehmann Elektro AG,A LEHMANN ELEKTRO AG,   ,1503046
CRIMSON Technology,CRIMSON TECHNOLOGY,   ,2909211
THALOS TECHNOLOGIES SAC,THALOS TECHNOLOGIES SAC,   ,4153019
PRINTSCAN SRL,PRINTSCAN SRL,   ,4153985
FUJITSU,FUJITSU TECHNOLOGY SOLUTIONS SA,   ,3205709
OPEX CONSULTANTS,OPEX CONSULTANTS,   ,4147784
TALEX S A,TALEX S.A.,   ,13194
GROUP ELEVEN CONSULTING INC,GROUPELEVEN CONSULTING,   ,4071436
TECH MAHINDRA LTD,TECH MAHINDRA LTD,   ,3643507
DECENS,DECENS,   ,4072344
REBEL ARCHITECTURE LTD,REBEL ARCHITECTURE LTD,   ,3748094
STALLION AUTOMATISERING B.V.,STALLION AUTOMATISERING B.V.,   ,1839483
MUNGER TECHNICAL SERVICES,MUNGER TECHNICAL SERVICES,   ,108640
AwardOne Technology Pty Ltd,AWARD ONE TECHNOLOGY PTY LTD,   ,2747757
Promotech Inc,Promotech Inc (Guyana),   ,4157274
JORDAN ASSOCIATES INC,"JORDAN ASSOCIATES INTEGRATED SYSTEMS, INC.",   ,3659853
MY TECH WIZARDS LLC,MY TECH WIZARDS LLC,   ,4122958
VNETWORK SYSTEM SDN. BHD.,VNETWORK SYSTEM SDN BHD,   ,3670376
EXPOSICION DE COMPUTADORAS DE SAN LUIS S DE RL DE CV,EXPOSICION DE COMPUTADORAS DE SAN LUIS S DE RL DE CV,   ,4046108
OST,OST,   ,4115975
ALAGAS NETWORK PTE LTD,ALAGAS NETWORK PTE LTD,   ,4152883
Proyectos Integrales del Ecuador PIL S.A,PROYECTOS INTEGRALES DEL ECUADOR PIL S.A,   ,3838117
"Marin It, Inc",MARIN IT INC,   ,2295622
FK TECHNOLOGY SDN BHD,FK TECHNOLOGY SDN BHD,   ,4008390
Technology Marketing & Management Services,TECHNOLOGY MARKETING & MANAGEMENT SERVICES,   ,3885724
SOLARIS,SOLARIS,   ,3827167
UNI ELEKTRO Fachgroßhandel GmbH & Co. KG,UNI ELEKTRO FACHGROSSHANDEL GMBH & CO. KG,   ,2998550
EZPC Indy LLC,EZPC INDY LLC,   ,3327621
