partner_name,site_name,site_phone,web_addr,address
Benolives Enterprises Kenya,BENOLIVES ENTERPRISES,+254720548574,https://www.benolives.co.ke,"DELTA 2 WESTLANDS, 13TH FLOOR, NAIROBI, KENYA"
CYBERACE AFRICA LTD,CYBERACE AFRICA LTD,+254724458426,https://www.cyberaceafrica.org,"8771-00100, NAIROBI, KENYA"
MFI Document Solutions limited,MFI Technology Solutions Ltd,+254203251777,https://www.groupmfi.com,"A1 BLOCK, ARYAN CENTRE, NAIROBI, KENYA"
Baran Telecom Networks Kenya,BARAN TELECOM NETWORKS KENYA,+254702482530,https://btn-solutions.co.ke/,"NEXTGEN PARK, OFF MSA RD, NAIROBI, KENYA"
AGILE CLOUD,AGILE CLOUD LTD,+254204408989,https://www.agilecloud.co.ke,"5TH FLOOR DELTA CHAMBERS, CHIROMO ROAD, WESTLANDS, NAIROBI, KENYA"
TRITEL TECHNOLOGIES LTD,TRITEL TECHNOLOGIES LTD,743123189,https://www.tritel.co.ke,"FORTH FLOOR TELKOM PLAZA, RALPH BUNCHE ROAD, PO BOX 14632-00100, NAIROBI, NAIROBI, KENYA"
Specicom Technologies LTD,SPECICOM TECHNOLOGIES LTD,+25420312383,https://www.specicom.co.ke,"7TH FLOOR, COMER HOUSE, MAMA NGINA ST,, NAIROBI, KENYA"
AMPLIFIED TECHPRO GLOBAL KENYA,AMPLIFIED TECHPRO GLOBAL KENYA,+254723794615,https://www.techproglobalgroup.com,"NGONG ROAD, BUILDING APPLE WALK PARK NAIROBI KENYA, NAIROBI, KENYA"
Liquid Intelligent Technologies,LIQUID INTELLIGENT TECHNOLOGIES,+254733500382,https://liquid.tech,"SAMEER BUSINESS PARK, BLOCK A, MOMBASA ROAD, NAIROBI, KENYA"
SEACOM LTD,SEACOM LTD,+254205133000,https://www.seacom.com,"MWANZI ROAD & PEPONI ROAD, NAIROBI, KENYA"
Dataposit Ltd,DATAPOSIT LTD,+254713797915,https://www.dataposit.co.ke,"P.O. BOX 14246, NAIROBI, KENYA"
COMPUTECH LIMITED,COMPUTECH LTD KENYA,+254730141000,https://www.computechlimited.com,"WAIYAKI WAY, OPPOSITE LION PLACE, NAIROBI, KENYA"
Circuit Business Systems,Circuit Business Systems (K) Ltd.,+254203754670,,"CBS House,Parklands Road,, Opp. Holiday Inn, Nairobi, KENYA"
