partner_name,site_name,site_phone,web_addr,extracted_emails,extracted_phones,address
13th Avril Co. Ltd,13TH AVRIL COMPANY LTD,+2348023696803,https://www.13thavrilcoltd.com,info@example.com,"00000057, +001 987-654-3210, 234) 80236968, 1-800-1234-567","10b Seriki Abass Street, off International Airport Rd, Osolo Way, Lagos, Nigeria., LAGOS, NIGERIA"
ALLIED COMPUTERS LIMITED,ALLIED COMPUTERS,+23412809774,,,,"227 IKORODU ROAD, ILUPEJU, NIGERIA"
APOTICA,APOTICA,233544315710,https://www.apotica.net,,"999999999, 99999999","IKOTA SHOPPING COMPLEX, VGC, LEKKI EXPRESSWAY, AJAH, IBEJU-LEKKI , LEKKI, NIGERIA"
ARIES SYSTEMCOM TECH ENG LTD,ARIES SYSTEMCOM TECH ENGINEERING LTD,+2348029070000,https://www.ariesng.com,info@ariesng.com,"2000000000, +2348029070000","IKORODU ROAD 348, OJOTA, LAGOS, NIGERIA"
ARIT OF AFRICA LIMITED,ARIT OF AFRICA LTD,+23417742340,https://www.aritofafrica.com,,"9999999999, 00628257","MURTALA MOHAMMED WAY 354, LAGOS, NIGERIA"
ARRAVO GLOBAL SERVICES LIMITED,ARRAVO GLOBAL SERVICES LIMITED,+23414489060,,,,"33, OYINKAN ABAYOMI DRIVE, IKOYI, NIGERIA"
ARVINET BUSINESS SOLUTION,ARVINET BUSINESS SOLUTION,2342012900140,https://www.arvinets.com,,,"SUITE B8 MOREMART COMPLEX, 62 JAGUNMOLU STREET, GBAGADA LAGOS, LAGOS, NIGERIA"
AS TECHNOLOGIES LTD,AS TECHNOLOGIES LTD,+2348023258027,https://www.as-technologies.com,support@as-technologies.com,"08099456700, 08180156944, 08023258027","NO 11 OBE STREET KONGI BODIJA, IBADAN, NIGERIA"
ATB Techsoft Solutions Limited,ATB TECHSOFT SOLUTIONS LTD,+2347002255282,https://www.atbtechsoft.com,,,"DELE ONABULE STREET MAGODO BROOKS ESTATE MAGODO 17, IKEJA, NIGERIA"
ATORJ TECHNOLOGY LTD,ATORJ TECHNOLOGY LTD,+23414538525,https://www.atorjtechnology.com,info@atorjtechnology.com,"0 0 128 128, 44372193, 09-184-302-375, 09600625038146, 0 0 120 1200, 2147483647, 0 0 1000 100, +020 1 4538525, 00000066, 19980468749998, 390625 380, 0 0 512 512, 999999999, 0 0 514 514, 79160041809086, 09600625038141, 16719970703127, 664063 132, 0 0 590 590, 79179992675785, 664062-132, 34606662, 0 0 1200 120, 7982421875","OLAJIRE HOUSE 3 ILUPEJU BYE PASS, LAGOS, NIGERIA"
