partner_name,site_name,site_phone,web_addr,address
13th Avril Co. Ltd,13TH AVRIL COMPANY LTD,+2348023696803,https://www.13thavrilcoltd.com,"10b Seriki Abass Street, off International Airport Rd, Osolo Way, Lagos, Nigeria., LAGOS, NIGERIA"
ALLIED COMPUTERS LIMITED,ALLIED COMPUTERS,+23412809774,,"227 IKORODU ROAD, ILUPEJU, NIGERIA"
APOTICA,APOTICA,233544315710,https://www.apotica.net,"IKOTA SHOPPING COMPLEX, VGC, LEKKI EXPRESSWAY, AJAH, IBEJU-LEKKI , LEKKI, NIGERIA"
ARIES SYSTEMCOM TECH ENG LTD,ARIES SYSTEMCOM TECH ENGINEERING LTD,+2348029070000,https://www.ariesng.com,"IKORODU ROAD 348, OJOTA, LAGOS, NIGERIA"
ARIT OF AFRICA LIMITED,ARIT OF AFRICA LTD,+23417742340,https://www.aritofafrica.com,"MURTALA MOHAMMED WAY 354, LAGOS, NIGERIA"
ARRAVO GLOBAL SERVICES LIMITED,ARRAVO GLOBAL SERVICES LIMITED,+23414489060,,"33, OYINKAN ABAYOMI DRIVE, IKOYI, NIGERIA"
ARVINET BUSINESS SOLUTION,ARVINET BUSINESS SOLUTION,2342012900140,https://www.arvinets.com,"SUITE B8 MOREMART COMPLEX, 62 JAGUNMOLU STREET, GBAGADA LAGOS, LAGOS, NIGERIA"
AS TECHNOLOGIES LTD,AS TECHNOLOGIES LTD,+2348023258027,https://www.as-technologies.com,"NO 11 OBE STREET KONGI BODIJA, IBADAN, NIGERIA"
ATB Techsoft Solutions Limited,ATB TECHSOFT SOLUTIONS LTD,+2347002255282,https://www.atbtechsoft.com,"DELE ONABULE STREET MAGODO BROOKS ESTATE MAGODO 17, IKEJA, NIGERIA"
ATORJ TECHNOLOGY LTD,ATORJ TECHNOLOGY LTD,+23414538525,https://www.atorjtechnology.com,"OLAJIRE HOUSE 3 ILUPEJU BYE PASS, LAGOS, NIGERIA"
AUTOSKADATECHNOLOGIES LTD,AUTOSKADATECHNOLOGIES LTD,+2348033361389,https://www.autoskada.com,"10 AZUABIE ROAD, OPP GTC OFF TRANS AMADI INDUSTRIAL AREA, PORT HARCOURT, RIVERS STATE, NIGERIA, 7G ANJOUS DRIVE, LEKKI, PORT HARCOURT, NIGERIA"
BARIUM TECHNOLOGY LTD,BARIUM TECHNOLOGY LTD,+2348022951529,https://www.bariumtech.com,"PLOT 2 BLOCK 19A JERRY IRIABE STREET, LEKKI PHASE 1, LAGOS, NIGERIA"
BETATECH CONSULTS LTD,BETATECH CONSULTS LTD,+2348020375099,https://www.betatechng.com,"36 ADEBOLA STREET, OFF ADENIRAN OGUNSANYA STREET, SURULERE, 36, LAGOS, NIGERIA"
BHARTI AIRTEL LIMITED,AIRTEL NIGERIA LTD,+2348022220267,https://www.airtel.com.ng,"PLOT L2 BANANA ISLAND, FORESHORE ESTATE IKOYI, LAGOS, NIGERIA"
Bitscape Technology Services Limited,BITSCAPE TECHNOLOGY SERVICES LTD,+2348027696740,https://www.bitscapetech.com,"PLOT 16A, GEORGE OMONUBI STREET, LAGOS, NIGERIA"
BLUDIVE TECHNOLOGIES LTD,BLUDIVE TECHNOLOGIES LTD,+23416323783,https://bludive.net,"1ST FLOOR, GARNET BUILDING, KM 14, LEKKI - EPE EXPRESSWAY,, IGBO - EFON, LEKKI, NIGERIA"
Bluechip Technologies LTD.,BLUECHIP TECHNOLOGIES LTD,+23414549539,https://bluechiptech.biz/about/,"9B ONIKOYI LANE, PARKVIEW ESTATE, IKOYI, NIGERIA"
Blueprint business Technology,BBT LTD,+23414633133,https://www.blueprintnet.com,"RIBADU ROAD OFF AWOLOWO ROAD IKOYI 2, IKOYI LAGOS, NIGERIA"
BNG Technologies Limited,BNG Technologies Limited,+2347045430404,https://www.bngtechnologies.com,"11b Fatai Arobieke Street, Off Admiralty Way,, Lagos, NIGERIA"
BRAIN TASK NIGERIA LTD,BRAIN TASK NIGERIA LTD,+2348143490431,https://www.braintask.com.ng,"13 ABIGI CLOSE, AKIODE OJODU, IKEJA, NIGERIA"
BT(Nigeria) Limited,BT NIGERIA LTD,+2348033036887,https://www.bt.com,"ADOL HOUSE, IPM AVENUE CENTRAL BUSINESS DISTRICT ALAUSA IKEJA 15, LAGOS, NIGERIA"
CAESARVISIONS LTD,CAESARVISIONS LTD,+2348095982067,https://caesarvisions.com/,"PLOT 155, HILSTONE ESTATE NNPC COOPERSTIVE ESTATE,, LIFECAMP ABUJA, ABUJA, NIGERIA"
CASS IMPERIAL MERCHANT NIG LTD,CASS IMPERIAL MERCHANT NIG LTD,+2347060571230,https://www.mordytech.com,"1 ADEKUNLE OWOBIYI CLOSE, OFF OLADELE KADIRI CLOSE, IKEJA, NIGERIA"
Castlenet Consulting Limited,CASTLENET CONSULTING LTD,+23416310967,https://www.castlenetconsults.com,"PLOT 19 BLOCK 16 CHIEF ALBERT IYORAH STREET, LEKKI PHASE 1, NIGERIA"
CECURE INTELLIGENCE LTD,CECURE INTELLIGENCE LTD,+2348165673533,https://cecureintel.com,"6, ESUGBAYI STREET, IKEJA GRA, LAGOS, NIGERIA"
CLASTEL NIGERIA LTD,CLASTEL NIGERIA LTD,+2347088572515,https://www.clastel.com,"10 OLUBUNMI OWA STREET, LEKKI PHASE 1, LEKKI, LAGOS, NIGERIA"
COHAESIO,COHAESIO,+2348032377429,https://www.cohaesio.co,"20 BOSUN ADEKOYA STREET, LAGOS, NIGERIA"
COLS PLACE LTD,COLS PLACE LTD,+2349061600003,https://www.cols-place.com,"14B OBAFEMI AWOLOWO WAY, IKEJA, NIGERIA"
COMMSPEC NETWORKS AND INFRASTRUCTURE LTD,COMMSPEC NETWORKS AND INFRASTRUCTURE LTD,+2348057747774,https://www.commspecng.com,"70 AJEGUNLE STREET, OFF MATINA ROAD, IKEJA, NIGERIA"
Computer Information Systems (CIS),Computer Information Systems (CIS),+23414605538,https://www.groupcis.com,"PLOT 1062 ABAGBON CLOSE, VICTORIA ISLAND, LAGOS, NIGERIA"
COMROES OMEGA NIG LTD,COMROES OMEGA NIG LTD,+2348026308877,https://comroesomega.com,"BLOCK 52, PLOT 6 OMORINRE JOHNSON STREET, LEKKI PHASE ONE, LEKKI, LAGOS, NIGERIA"
Converge Group,CONVERGE GLOBAL CONCEPT TECHNOLOGIES,+23413425910,https://www.convergroup.com,"Mainstreet Bank Group House, Admiralty Way, Lekki Phase One, LAGOS, NIGERIA"
Covalence Limited,COVALENCE LTD,+2348129922901,https://www.covalenceltd.com,"KUDANG STREET PLOT 173, ABUJA, NIGERIA"
CPAAT CONSULTING LTD,CPAAT CONSULTING LTD,+2348082432888,,"5 KWAJI CLOSE, OFF AGUNYI IRONSI STREET, ABUJA, NIGERIA"
Creastech Limited,Creastech Limited,+2347084755837,https://creastech.com/,"2 ORA EKPEN CRESCENT, GBAGADA ROUNDABOUT, LAGOS, NIGERIA"
CWG PLC LAGOS,CWG PLC,+23412809800,https://cwg-plc.com/,"HEAD OFFICE Block 54A, Plot 10, Off Rufus Giwa Street, Off Adebayo Doherty Road, Off Admiralty Way, Lekki Phase 1,, LAGOS, NIGERIA"
CYBERDOME NIGERIA LTD,CYBERDOME NIGERIA LTD,+2347040100001,https://cyberdome.net/,"NO 3 BOBO CLOSE, MAITAMA, ABUJA, ABUJA, NIGERIA"
Cyberspace Network Limited,CYBERSPACE NETWORK LTD,+23415150100,https://www.cyberspace.net.ng,"33 SAKA TINUBU STREET, VICTORIA ISLAND, LAGOS, NIGERIA"
Dataflex Nigeria Limited,DATAFLEX NIGERIA LIMITED,234127133407,https://www.dataflexng.com,"PLOT 227B MURI OKUNOLA STREET, OFF AJOSE ADEOGUN STREET, LAGOS, NIGERIA"
DAVENOP TECHNOLOGIES,DAVENOP TECHNOLOGIES,9139390737,https://www.davenoptechnologies.com,"2 OLU THOMAS SHAGISHA, CMD ROAD LAGOS, LAGOS, NIGERIA"
DE GLAMGALLERY TECHNOLOGIES LTD,DE GLAMGALLERY TECHNOLOGIES LTD,7077958749,https://www.deglamgallerytech.com,"43B EMINA CRESCENT OFF TOYIN STREET, IKEJA, NIGERIA"
DEXTERPRO TECHNOLOGY LTD,DEXTERPRO TECHNOLOGY LTD,+2348165353645,https://www.dexterprotechnology.com,"36B JAY JAY OLADIMEJI ST, IKATE, LEKKI, NIGERIA"
DIGITAL COMMUNICATIONS KONSULT NIGERIA LIMITED,Digital Communications Konsult Nigeria Limited,+2348033002348,https://www.dckng.com,"33, Akerele Street, Surulere, NIGERIA"
Dimension Data Nigeria Ltd,DIMENSION DATA NIGERIA LTD,2342012709901,https://WWW.DIMENSIONDATA.COM,"3B, LIGALI AYORINDE STREET,, VICTORIA ISLAND , LAGOS, NIGERIA"
DNIL,Lagos HQ,+2348076406518,https://www.dnilsolutions.com,"15B OGIDI CRESCENT OFF CHRIST AVENUE, OFF ADMIRALTY ROAD, LEKKI PHASE 1, LAGOS, NIGERIA"
Edgebase Technologies Ltd.,Edgebase Technologies Ltd.,+2348029999871,https://www.edgebasetech.com,"16 SULE ABUKA STREET, OFF OPEBI ROAD, BESIDE GTB, IKEJA, NIGERIA"
Edgenet Consulting Limited,EDGENET CONSULTING LTD,+2348085771225,https://www.edgenetgroup.com,"51 OGUNDANA STREET ALLEN, IKEJA, NIGERIA"
Emerald Galaxy technology hub Limited,EMERALD GALAXY TECHNOLOGY HUB LTD,+2348179440627,https://www.emeraldgalaxytechnology.com,"NO 1,AJIUN AMDALAT OGUDU ORI OKE, LAGOS, NIGERIA"
EMOCOM TECHNOLOGIES AND CONSULTING LIMITED,EMOCOM TECHNOLOGIES AND CONSULTING LIMITED.,+2347034447660,https://www.emocomgroup.com,"A83A ROAD 2 CARLTON GATE ESTATE, CHEVRON DRIVE-LEKKI LAGOS, ETI-OSA, LGA, LAGOS, NIGERIA"
Enov8 Solutions Limited,ENOV8 SOLUTIONS LTD,+2348179757496,,"5A AWUDU EKPEGHA BOULEVARD, OFF ADMIRALTY WAY, LEKKI LAGOS, NIGERIA"
EPIC DIGITAL SOLUTIONS,EPIC DIGITAL SOLUTIONS,+2348098644389,,"67 PRINCE KAZEEM ELETU WAY, OSAPA LONDON, LEKKI, NIGERIA"
eProcess Consulting,eProcess Consulting,+2348034261730,https://www.eprocessconsulting.com,"3B DOTUN JOLAOSO CLOSE, OFF ADEBOYE SHOLANKE STREET, LAGOS, NIGERIA"
EQUINIX DATACENTER NIGERIA LTD,EQUINIX DATACENTER NIGERIA LTD,+2347006246663,https://www.equinix.com,"13 LIGALI AYORINDE, LAGOS, NIGERIA"
ETHNOS CYBER LTD,ETHNOS CYBER LTD,+2348038447285,https://www.ethnoscyber.com,"207A MURI OKUNOLA STREET, LAGOS, NIGERIA"
Fastspeed Business Solutions Limited,FASTSPEED BUSINESS SOLUTION LTD,09010010539,https://www.fastspeedsolutions.com,"143 OJUELEGBA ROAD BY KARIMU STREET SURULERE, LAGOS, NIGERIA"
