partner_name,site_name,site_phone,web_addr,extracted_emails,extracted_phones,address
1064930 ALAD ALTHANAIE LLC COMPANY,1064930 ALAD ALTHANAIE LLC COMPANY,+966551869685,https://www.01-tech.net,sales@01-tech.net,114283207,"REMB4458, RIYADH, SAUDI ARABIA"
21CK Saqiya IT,21CK SAQIYA IT,+966112760990,https://www.21ck-it.com,info@21ck-it.com,"+966 56 222 2045, 1010792558, +966 11 276 0990","1010897620, RIYADH, RIYADH, SAUDI ARABIA"
3D INTERNATIONA,3D International Technical Services Est,+966138649791,https://www.3dts.com.sa,info@3dts.com.sa,"+966-13-8649791, +966-13-8653379","Al Reziza Bldg. Office #3/3, Prince Mansour Street, Cross A, Prince Mansour Street, al khobar, SAUDI ARABIA"
3M DATA,3M DATA,+966555679444,https://3mdata.tech/,,"987511858, 00000021, 987512205-9875, 232735532","6228 SALAH AL-DIN AL-AYYUBI STREET, RIYADH, SAUDI ARABIA"
46 Tech,46 TECH,0096612295493,https://46tech.com,,,"RIYADH, MOBILE 0565188875, RIYADH, SAUDI ARABIA"
AALA TECH COMPANY LTD,AALA TECH COMPANY LTD,115124319,https://aala-tech.com/,info@aala-tech.com,"966569216835, +966115124319, +966 56 921 6835, 17512103184","MAKKAH ALMUKARAMA BRANCH, AL OLAYA DIST, RIYADH, KSA, AL TADAMUN AL ARABI, MISHRIFAH DIST,JEDDAH, KSA, RIYADH, SAUDI ARABIA"
Aamal Almountaha AMCO,AAMAL ALMOUNTAHA AMCO,+966580130600,https://www.saudiamco.com,info@amco-est.com,"3333333333333, 9444444444444, 5555555555556, 6666666666667, 3888888888889, 1111111111111, +966) 011 512, 31536000, 00000057, 7777777777778, 83333333333333","ABDEL AZIZ ROAD, RIYADH, SAUDI ARABIA"
AB Tech for Information Technology Co.,AB TECH FOR INFORMATION TECHNOLOGY COMPANY,+966112059550,https://www.abtech.com.sa,info@abtech.com.sa,,"BUILDING 6556, KING SAUD UNIVERSITY, RIYADH, SAUDI ARABIA"
ABAD ALSHABAKA ALHAITHA,ABAD ALSHABAKA ALHAITHA,505235154,https://www.uss-me.com,,,"7034 SAIYDA STEET AL DURAIHEMIYA DISTRICT, RIYADH, SAUDI ARABIA"
Abana,ABANA ENTREPRISES GROUP CO LTD,+966920006360,https://www.abana.com.sa,,"04-23 095544, 1104174120, 1224384595, 1-202410151142, +966 92 000 6360, 583-202505190934, 100063595779847, 7168351456, 1-202410131542, 45001-20241102, 5716883821","P O BOX 3879 RIYADH 11481, OLAYA K S A, RIYADH, SAUDI ARABIA"
Abdulaziz Ibrahim Al Oufy Trading Est.,ABDULAZIZ IBRAHIM AL OUFY TRADING EST,+966576610710,https://aloufytrading.com,info@aloufytrading.com,138953461,"PRINCE NAWAF STREET 11TH CROSS AL KHOBAR - 31952, AL KHUBAR, SAUDI ARABIA"
Abdulla Fouad Holding Co.,ABDULLA FOUAD CO LTD,+96638345722,https://www.abdulla-fouad.com,,"0535714295, 0833333337, 0714285705, 0416666682, 0714285718","Prince Mohammed Street, PO Box 257, Dammam, SAUDI ARABIA"
ABDULLAH SAAD ABOMOATI,ABDULLAH SAAD ABOMOATI,+966114116957,https://www.Abomoati.com,,"7635792831582, 6666666666667, 6285534004548, 4004675014733, 0429510991, 7866234532409","7825 IBRAHIM AT TASAN, RIYADH, SAUDI ARABIA"
Abdulrahman A. Almoussa Trading Co. LTD.,Abdulrahman A. Almoussa Trading Co. LTD.,+966114509250,https://www.threea.net,,,"PO BOX 90033, RIYADH, SAUDI ARABIA"
Accenture Saudi Arabia Limited,ACCENTURE LLC,96612838000,https://www.accenture.com,,"2147483647, 6666666667, 2147483646, 3333333333, 2147483645","6533 ALWOROUD AREA OLAYA STREET, RIYADH, SAUDI ARABIA"
ACET SOLUTIONS LLC,ACET SOLUTIONS LLC,+966501406668,https://www.acetsolutions.com,,"14721242, 96279157, 3689-4727-9515","PO BOX 2703, QURTUBAH, RIYADH 13248, KINGDOM OF SAUDI ARABIA, RIYADH, SAUDI ARABIA"
Acuative WLL,ACUATIVE WLL,+966546153727,https://www.acuative.com,,"9841681745717, 99999999, 999999999","7416 uthman ibn affan branch road - At taawun Area, RIYADH, SAUDI ARABIA"
aDawliah,ADAWLIAH,+966114597847,https://www.adawliahshop.com/en,orders@adawliah.com,"0112438957, 13073452, 0961091021, 300417159200003, 2051006970, +966112438957","RIYADH KING FAHAD ROAD, RIYADH, SAUDI ARABIA"
ADRENO INFORMATION TECHNOLOGY COMPANY,ADRENO INFORMATION TECHNOLOGY COMPANY,+966541287667,https://www.adreno.net,info@adrenotech.com,"+966 54 128 7667, 00000026","BUILDING NO 3617,, KING FAHD STREET, MADINAT AL UMMAL, AD DAMMAM, SAUDI ARABIA"
Advanced Co. For Maintenance and Operations,Advanced Co. For Maintenance and Operations,+966112170000,,,,"11421 KING FAHD ROAD, RIYADH, SAUDI ARABIA"
