partner_name,site_name,site_phone,web_addr,address,search_extracted_emails,search_extracted_phones
CAPITAL INFORMATION TECHNOLOGY SA DE CV,CAPITAL INFORMATION TECHNOLOGY SA DE CV,+523318123490,https://www.capitalit.mx/,"TEXCOCO 258, ZAPOPAN, JAL, MEXICO",,+523318123490
ASCENT TECHNOLOGY LIMITED,Head Office,+6448023890,https://www.ascent.co.nz,"309C WILLIS STREET, WELLINGTON, NEW ZEALAND",,+6448023890
Telecom4Good,TELECOM4GOOD,+19492743877,https://telecom4good.org/,"5621 COSTA MARITIMA, SAN CLEMENTE, CA, USA",,+19492743877
BICCAMERA INC.,BIC CAMERA INC,+81339878263,https://www.biccamera.co.jp/ir/index.html,"3-23-23 TAKADA, TOSHIMA, TOKYO, JAPAN",,+81339878263
"OMEGA INTEGRATION(YANTAI)CO.,LTD","OMEGA INTEGRATION(YANTAI)CO.,LTD",+8613776901625,https://www.omega-in.com/,"UNIT 1411, BUILDING 1889, ZHONGRUN BUILDING, FENGHUANG STREET, LAISHAN DISTRICT, YANTAI, SHANDONG, YANTAI, CHINA",,+8613776901625
ABS,ADVANCED BUSINESS SOLUTIONS,+15028962557,https://advancedbusinesssolutions.com/,"1745 PAYNE ST, LOUISVILLE, KY, USA",,+15028962557
PT VIRTUAL NETWORK SOLUTION INDONESIA,PT VIRTUAL NETWORK SOLUTION INDONESIA,+6281292681281,https://vns.com.my/,"RUKO GOLDEN MADRID BLOK D NOMOR 26 ROOM 767, JALAN LETNAN SUTOPO BSD CITY,, DESA/KELURUHAN RAWA MEKARJAYA, KEC SERPONG,, TANGERANG, INDONESIA",,+6281292681281
CA Labs Pty Ltd,CA Labs Pty Ltd,+61434251920,https://www.calabs.com.au/,"L 1 33 ALLARA ST, CANBERRA, ACT, AUSTRALIA",,+61434251920
MBIT S DE RL DE CV,MBIT S DE RL DE CV,+526649736377,https://www.mbit.mx/,"AV INSURGENTES 382-A, TIJUANA, BC, MEXICO",,+526649736377
Transafety Ltda,TRANSPORTES TRANSAFETY LTDA,+56977962062,https://transafety.cl/,"ALBERTO GONZALEZ 4646, SANTIAGO, METROPOLIT, CHILE",,+56977962062
MEDLEY INDIA INFOSOLUTION PVT LTD,MEDLEY INDIA INFOSOLUTION PVT LTD,+919810387393,https://www.medleyindia.com/,"K-59, 1ST FLOOR, AIRPORT VASANT KUNJ ROAD,, ABOVE OBC BANK, NEW DELHI, DL, INDIA",,+919810387393
3Consult Solucoes de Tecnologia da Informatica Ltda,3CONSULT,+557134806350,http://www.3consult.com.br/,"AVENIDA TANCREDO NEVES, SALVADOR, BA, BRAZIL",,+557134806350
"Diverse Managed Services, Inc",DIVERSE TECH SERVICES INC,+13175245700,https://www.DiverseTechservices.com,"7135 WALDEMAR DR, INDIANAPOLIS, IN, USA",,+13175245700
Fig Technology Pty ltd,FIG TECHNOLOGY,+27118861000,https://figtechnology.co.za/,"2 YORK STREET, KENSINGTON B, RANDBURG, SOUTH AFRICA",,+27118861000
Nixus AB,TWPS NIXUS AB,+46853490111,https://www.nixus.info/start,"GROEDINGEVAEGEN 49 B, TUMBA, SWEDEN",,+46853490111
BECHTLE LOGISTIK & SERVICE GMBH,BECHTLE LOGISTIK & SERVICE GMBH,+4971329810,https://www.bechtle.com/,"BECHTLE PLATZ 1, NECKARSULM, BADEN-WUER, GERMANY",,+4971329810
VCURA Canada Inc,VCURA CANADA INC,+14036909406,https://www.vcura.com,"324 8 AVE SW, SUITE 601, CALGARY, AB, CANADA",,+14036909406
Eden General Construction,EDEN GENERAL CONSTRUCTION,+19149792797,https://www.edengroupusa.com/,"3121 MICKLE AVE, UNIT 1, BRONX, NY, USA",,+19149792797
