partner_name,site_name,site_phone,web_addr,extracted_emails,extracted_phones,address
ACSC,ACSC,+96822701000,https://www.acsc.com.om,sales@acsc.com.om,+96822701000,"OFFICE NO4, GROUND FLOOR, OCEANA BUILDING, AL GHUBRA, MUSCAT, OMAN"
Al Afnan Computers,AL AFNAN COMPUTERS,+96824544397,https://www.alafnan.net,,"+96897070909, 800521317, 24544397, 890326729, 9607872106, 86818980, +968 24544397, +968 97070909, 97614832, 96824544397, +96824544397","PO BOX 578, AL KHOUD, OMAN"
Al Khalili United Enterprises,AL KHALILI UNITED ENTERPRISES,+96822035007,https://www.alkhalili.com/,info@alkhalili.com,"23.5873041, 55.1146351, 24.9341077, +968 2449 7137, 80078899, +96822035007, 55.1168238, +96822035000, 58.4058616, +96899376481","AL WADHI AL KABIR, MUSCAT, OMAN"
ALMOAYYED INTERNATIONAL LLC,ALMOAYYED INTERNATIONAL LLC,+96824727476,https://www.almoayyedintl.com/,info@almoayyedintl.com,"+973 1770 1211, +96824727476, +973 1770 0777","OFFICE 307 1ST FLOOR, AL MUTHANA SQUARE, PO BOX 1439, POSTAL CODE 131, WADI KABIR,, MUSCAT, OMAN"
ALNOWRAS IT SOLUTION SPC,ALNOWRAS IT SOLUTION LLC,+96897436155,https://www.alnowrasit.com/,,+96897436155,"Office Number 116, Maktabi Building 1st Floor, Al Wattayah, Muscat, Oman, MUSCAT, OMAN"
Awasr Oman And Partners SAOC,AWASR OMAN AND PARTNERS SAOC,+96824166300,https://www.awasr.om/en/package/journey/ZVANH?promotionTerm=24,,"2005-0111, 80001000, +96824166300","KOM5,4TH FLOOR, MUSCAT, OMAN"
BADEM MIDDLE EAST LLC,BADEM MIDDLE EAST LLC,+96898912343,https://bademoman.com/,info@bademoman.com,+96898912343,"OFFICE 1991, UNIT 714, AL GHUBRA ST, MUSCAT, OMAN"
BAHWAN IT LLC,BAHWAN IT LLC,+96824650336,https://www.bahwanit.com/,info@bahwanit.com,"+968-24650311, 1-1608639801, +96824650336, +968-24650366","NASRA AL LAMKI, AL RAWAQ BUILDING, 5TH FLOOR, AL-QURUM, MUSCAT, OMAN"
Black Box Technology SPC,Black Box Technology SPC,+96824699047,https://blackboxoman.com/,,"2002703759, +96824699047","AL MANAL BUILDING, OFFICE 607, MADINAT SULTAN QABOOS, MUSCAT, OMAN, MUSCAT, OMAN"
BLUTEK LLC,BLUTEK LLC,+96890173248,https://www.blutek.solutions,,+96890173248,"PC 112, RUWI, SULTANATE OF OMAN, MUSCAT, OMAN"
BT UAE LTD DUBAI BRANCH,BT (International) Holdings Limited & Co. LLC,08001693031,https://www.bt.com,,08001693031,"1413, 14TH FLOOR AL FARDAN OFFICE TOWER, DOHA , QATAR, DOHA, QATAR"
Business International Group LLC,BUSINESS INTERNATIONAL GROUP LLC,+96824399300,https://www.bigllcoman.com/,big@bigllcoman.com,"243-99300, +96824399300","DOHAT AL ARAB STREET,, PO BOX, 1268, 01ST BUILDING, ONEIC BUILDING, MUSCAT, OMAN"
CLOUD GULF TECHNOLOGY LLC,CLOUD GULF TECHNOLOGY LLC,+96894528778,https://www.imitservices.com/,info@imitservices.com,"897 833 8903, 800 863 3884, +96894528778","ADDRESS 2ND FLOOR, TAMIMAH BUILDING, MUSCAT, OMAN"
COMPUTER & POWER TECHNOLOGY L.L.C,OVERSEAS BUSINESS MACHINES,+96824170000,https://www.cptauh.ae,,+96824170000,"KOM 4, Knowledge Oasis Muscat, KOM4, 6th Floor, Rusayl,   PC 133, P O Box 701, MUSCAT, OMAN"
COMPUTER NETWORK SYSTEMS,COMPUTER NETWORK SYSTEMS OMAN,+97142384400,https://cns-me.com/,"info@cns-me.com, feedback@cns-me.com","+971 4 238 4400, +97142384400","2ND FLOOR, MAKEEN BUILDING, AIRPORT ROAD, DUBAI, DUBAI, DUBAI, UNITED ARAB EMIRATES"
CORVIT NETWORKS,CORVIT NETWORKS Oman,+96892832601,https://ae.corvit.com/,"training@corvit.ae, sales@corvit.ae","398605232, 20181294963, 415284707, 971556055502, 258915535, 308939069, 892322434, 856821975, +971556055502, 718891251, 232147751, 524089879, 592568814, 573254124, 605088659, +96892832601, 670539003, 388273853, 987265045, 98269587, 168058960, 644305810, +97145808441, 969805209, 530531100, 937263769, 370437599, 85131993, 207995212","OFFICE # 03129, 1ST FLOOR, KOM3, KNOWLEDGE OASIS MUSCAT, PO BOX NO 45, MUSCAT, OMAN"
Data exploration technologies for IT systems and communication equipment's LLC.,Data exploration technologies for IT systems and communication equipment's LLC.,+96891151313,https://www.dxtechs.org,,"+96891151313, 88775879","APARTMENT NO 77, BUILDING NO 49, PLOT NO 972/1BLOCK NO 233, STREET NO 233 IN AL KHUWAIR JANUBIYYA, MUSCAT, OMAN"
