partner_name,site_name,site_phone,web_addr,address,search_extracted_emails,search_extracted_phones
ACSC,ACSC,+96822701000,https://www.acsc.com.om,"OFFICE NO4, GROUND FLOOR, OCEANA BUILDING, AL GHUBRA, MUSCAT, OMAN",,+96822701000
Al Afnan Computers,AL AFNAN COMPUTERS,+96824544397,https://www.alafnan.net,"PO BOX 578, AL KHOUD, OMAN",,+96824544397
Al Khalili United Enterprises,AL KHALILI UNITED ENTERPRISES,+96822035007,https://www.alkhalili.com/,"AL WADHI AL KABIR, MUSCAT, OMAN",,+96822035007
ALMOAYYED INTERNATIONAL LLC,ALMOAYYED INTERNATIONAL LLC,+96824727476,https://www.almoayyedintl.com/,"OFFICE 307 1ST FLOOR, AL MUTHANA SQUARE, PO BOX 1439, POSTAL CODE 131, WADI KABIR,, MUSCAT, OMAN",,+96824727476
ALNOWRAS IT SOLUTION SPC,ALNOWRAS IT SOLUTION LLC,+96897436155,https://www.alnowrasit.com/,"Office Number 116, Maktabi Building 1st Floor, Al Wattayah, Muscat, Oman, MUSCAT, OMAN",,+96897436155
Awasr Oman And Partners SAOC,AWASR OMAN AND PARTNERS SAOC,+96824166300,https://www.awasr.om/en/package/journey/ZVANH?promotionTerm=24,"KOM5,4TH FLOOR, MUSCAT, OMAN",,+96824166300
BADEM MIDDLE EAST LLC,BADEM MIDDLE EAST LLC,+96898912343,https://bademoman.com/,"OFFICE 1991, UNIT 714, AL GHUBRA ST, MUSCAT, OMAN",,+96898912343
BAHWAN IT LLC,BAHWAN IT LLC,+96824650336,https://www.bahwanit.com/,"NASRA AL LAMKI, AL RAWAQ BUILDING, 5TH FLOOR, AL-QURUM, MUSCAT, OMAN",,+96824650336
Black Box Technology SPC,Black Box Technology SPC,+96824699047,https://blackboxoman.com/,"AL MANAL BUILDING, OFFICE 607, MADINAT SULTAN QABOOS, MUSCAT, OMAN, MUSCAT, OMAN",,+96824699047
BLUTEK LLC,BLUTEK LLC,+96890173248,https://www.blutek.solutions,"PC 112, RUWI, SULTANATE OF OMAN, MUSCAT, OMAN",,+96890173248
BT UAE LTD DUBAI BRANCH,BT (International) Holdings Limited & Co. LLC,08001693031,https://www.bt.com,"1413, 14TH FLOOR AL FARDAN OFFICE TOWER, DOHA , QATAR, DOHA, QATAR",,08001693031
Business International Group LLC,BUSINESS INTERNATIONAL GROUP LLC,+96824399300,https://www.bigllcoman.com/,"DOHAT AL ARAB STREET,, PO BOX, 1268, 01ST BUILDING, ONEIC BUILDING, MUSCAT, OMAN",,+96824399300
CLOUD GULF TECHNOLOGY LLC,CLOUD GULF TECHNOLOGY LLC,+96894528778,https://www.imitservices.com/,"ADDRESS 2ND FLOOR, TAMIMAH BUILDING, MUSCAT, OMAN",,+96894528778
COMPUTER & POWER TECHNOLOGY L.L.C,OVERSEAS BUSINESS MACHINES,+96824170000,https://www.cptauh.ae,"KOM 4, Knowledge Oasis Muscat, KOM4, 6th Floor, Rusayl,   PC 133, P O Box 701, MUSCAT, OMAN",,+96824170000
COMPUTER NETWORK SYSTEMS,COMPUTER NETWORK SYSTEMS OMAN,+97142384400,https://cns-me.com/,"2ND FLOOR, MAKEEN BUILDING, AIRPORT ROAD, DUBAI, DUBAI, DUBAI, UNITED ARAB EMIRATES",,+97142384400
CORVIT NETWORKS,CORVIT NETWORKS Oman,+96892832601,https://ae.corvit.com/,"OFFICE # 03129, 1ST FLOOR, KOM3, KNOWLEDGE OASIS MUSCAT, PO BOX NO 45, MUSCAT, OMAN",,+96892832601
