partner_name,site_name,site_phone,web_addr,extracted_emails,extracted_phones,address
Enterprise Catalyst Entelyst,ENTERPRISE CATALYST ENTELYST,+97444131442,https://www.entelyst.com.qa,,"10000000, 36601698, 21144504","3B AL MANA TOWER B, QATAR, QATAR"
DIMENSION DATA MIDDLE EAST LLC,DIMENSION DATA QATAR L.L.C.,97126427447,https://www.dimensiondata.com,,"2147483647, 32398411, 37216-5922-4382","AL HIJRI BLDG 3RD FLOOR OFFICE:AL RUWAIS STREET DOHA 2/3, DOHA, QATAR"
Technobriq solutions,TECHNOBRIQ SOLUTIONS,+97444771911,https://www.technobriq.com,info@technobriq.com,"+974 4477 1911, 7843870784","MANSOURA BUILDING, OFFICE #07 BLD# 40, STREET NO 950, ZONE 25 MANSOURA DOHA, MANSOURA BUILDING, MANSOURA, DOHA, QATAR, QATAR"
DAR EAST TECHNOLOGY SERVICES,DAR EAST TECHNOLOGY SERVICES,41447846,https://dareast.com/,info@dareast.com,"00000052, 1380625703, 45815578, +974 4144 7831, +97441447831, 31536000","DOHA - QATAR, BARJ MARINA 15TH FLOOR, LUSAIL, QATAR"
Grand International for Trading W.L.L,GRAND INTERNATIONAL FOR TRADING WLL,+97440012586,https://www.gicmiddleast.com,,"+974 40012586, +974) 40012586, +965 22289090, +966 570820047, +966) 57082004, 66666680, +965) 22289090, 7-1643626333","OFFICE I-104, 1ST FLOOR, MIRQAB MALL, DOHA, QATAR"
GulfBusiness Development Group,GULFBUSINESS DEVELOPMENT GROUP,,,,,GULFBUSINESS DEVELOPMENT GROUP qatar
TELEPHONY COMMUNICATION TECHNOLOGIES,ABU HAMOUR,+97444806991,https://bing.com,,"2147024882, 2234581475, 002220260622, 69881876, 1165519206, 09320476, 83947829","SF 32-C101, 1ST FLOOR, SAFWA BUILDING, BARWA COMMERCIAL AVENUE, DOHA, QATAR"
CLEOPATRA TECHNOLOGY W.L.L,CLEOPATRA TECHNOLOGY WLL,+97444214465,https://www.cleopatra-tech.com,info@cleopatra-tech.com,"166725116, +974 4421 4465","OLD SALATA, DOHA, QATAR"
Oregon Systems,OREGON SYSTEMS TRADING,97411312733,https://www.oregon-systems.com,contact@oregon-systems.com,"+971-26279727, 00000080, 67108864","FIRST FLOOR ALAQARIA TOWER BUILDING, DOHA, QATAR"
PREMIER INFOTECH SECURITY SERVICES,PREMIER INFOTECH SECURITY SERVICES,,https://premierinfotech.qa,info@premierinfotech.qa,"+974 3028 8899, 99999999, 97430288899",PREMIER INFOTECH SECURITY SERVICES qatar
AISS Qatar,ADVANCED INFORMATION SECURITY SOLUTIONS,+97430002560,https://aiss.tech,,"+91 471 406 1177, +974 44212116, 00000021, +91 98840 7059","Advanced Information Security Solutions W.L.L, Unit No:10, 5th Floor Building - 57 Street-330 Zone 25, DOHA, QATAR"
NETSOFT SOLUTIONS LLC,Netsoft Solutions,971555012944,https://www.netsoftit.net,info@netsoftit.net,"178270417, +974 4427 7244, +971 4 355 2336","BLUE POLYGON COMMERCIAL COMPLEX, OFFICE NO 20 , DOHA, QATAR"
Corvit Networks,CORVIT NETWORKS,+97440006999,https://www.dicotech-corvit.com,,,"2ND FLOOR, BUILDING, DOHA, QATAR"
REDFORT NETWORKS TRADING & SERVICES,REDFORT NETWORKS TRADING & SERVICES,+97460037149,https://redfortnetworks.com/,"info.canada@redfortnetworks.com, info@redfortnetworks.com, info.usa@redfortnetworks.com","+974-6003 7149, 00000026","AL AQARIA TOWER, MUSEUM STREET, DOHA QATAR, DOHA, QATAR"
TRADING AND AGENCY SERVICES LTD COMPANY WLL,TRADING AND AGENCY SERVICES LTD COMPANY WLL,+97455494799,https://www.tragsqatar.com,tragsdoh@tragsqatar.com,+974 44462900,"MANARET AL DOHA BUILDING B-RING ROAD, DOHA AL JADEEDA, DOHA AL JADEEDA, PO BOX 1884, DOHA, QATAR"
ALPHA DATA - P.J.S.C,Alpha Data PJSC,+97444365619,https://www.alpha.ae,,61558582831760,"LLCOFFICE, CHOICE CENTER 305, DOHA, QATAR"
MODERN HOME,MODERN HOME W L L,+97444257777,https://www.Darwishholding.com,info@darwishholding.com,"974 4425 7777, 146618873, 974 4431 4700","P.O. BOX 615, DOHA, QATAR"
ALFA ROYAL TRADING WLL,ALFA ROYAL TRADING WLL,+97477781749,https://alfaroyaltr.com/,,"66758051, 1073741824","BUZWAIR COMMERCIAL BUILDING, AL MUNTAZA-BLOCK 2, FLOOR 7, OFFICE NUMBER 2 ZONE 25, STREET 330, BUILDING 57, DOHA, QATAR"
GULF NETWORKS SECURITY SOLUTIONS,GULF NETWORKS SECURITY SOLUTIONS,+97444697424,https://www.gnss.com.qa,info@gnss.com.qa,"+974 4444 4266, 55417861, 97477542677, +974 4469 7424, +974 4444 4966, 17257344482671","SALWA ROAD , NEAR AL AZIZIA INTERSECTION, BESIDE AL JAZEERA PETROL STATION, DOHA, QATAR"
