partner_name,site_name,site_phone,web_addr,address
Enterprise Catalyst Entelyst,ENTERPRISE CATALYST ENTELYST,+97444131442,https://www.entelyst.com.qa,"3B AL MANA TOWER B, QATAR, QATAR"
DIMENSION DATA MIDDLE EAST LLC,DIMENSION DATA QATAR L.L.C.,97126427447,https://www.dimensiondata.com,"AL HIJRI BLDG 3RD FLOOR OFFICE:AL RUWAIS STREET DOHA 2/3, DOHA, QATAR"
Technobriq solutions,TECHNOBRIQ SOLUTIONS,+97444771911,https://www.technobriq.com,"MANSOURA BUILDING, OFFICE #07 BLD# 40, STREET NO 950, ZONE 25 MANSOURA DOHA, MANSOURA BUILDING, MANSOURA, DOHA, QATAR, QATAR"
DAR EAST TECHNOLOGY SERVICES,DAR EAST TECHNOLOGY SERVICES,41447846,https://dareast.com/,"DOHA - QATAR, BARJ MARINA 15TH FLOOR, LUSAIL, QATAR"
Grand International for Trading W.L.L,GRAND INTERNATIONAL FOR TRADING WLL,+97440012586,https://www.gicmiddleast.com,"OFFICE I-104, 1ST FLOOR, MIRQAB MALL, DOHA, QATAR"
GulfBusiness Development Group,GULFBUSINESS DEVELOPMENT GROUP,,,GULFBUSINESS DEVELOPMENT GROUP qatar
TELEPHONY COMMUNICATION TECHNOLOGIES,ABU HAMOUR,+97444806991,https://bing.com,"SF 32-C101, 1ST FLOOR, SAFWA BUILDING, BARWA COMMERCIAL AVENUE, DOHA, QATAR"
CLEOPATRA TECHNOLOGY W.L.L,CLEOPATRA TECHNOLOGY WLL,+97444214465,https://www.cleopatra-tech.com,"OLD SALATA, DOHA, QATAR"
Oregon Systems,OREGON SYSTEMS TRADING,97411312733,https://www.oregon-systems.com,"FIRST FLOOR ALAQARIA TOWER BUILDING, DOHA, QATAR"
PREMIER INFOTECH SECURITY SERVICES,PREMIER INFOTECH SECURITY SERVICES,,https://premierinfotech.qa,PREMIER INFOTECH SECURITY SERVICES qatar
AISS Qatar,ADVANCED INFORMATION SECURITY SOLUTIONS,+97430002560,https://aiss.tech,"Advanced Information Security Solutions W.L.L, Unit No:10, 5th Floor Building - 57 Street-330 Zone 25, DOHA, QATAR"
NETSOFT SOLUTIONS LLC,Netsoft Solutions,971555012944,https://www.netsoftit.net,"BLUE POLYGON COMMERCIAL COMPLEX, OFFICE NO 20 , DOHA, QATAR"
Corvit Networks,CORVIT NETWORKS,+97440006999,https://www.dicotech-corvit.com,"2ND FLOOR, BUILDING, DOHA, QATAR"
REDFORT NETWORKS TRADING & SERVICES,REDFORT NETWORKS TRADING & SERVICES,+97460037149,https://redfortnetworks.com/,"AL AQARIA TOWER, MUSEUM STREET, DOHA QATAR, DOHA, QATAR"
TRADING AND AGENCY SERVICES LTD COMPANY WLL,TRADING AND AGENCY SERVICES LTD COMPANY WLL,+97455494799,https://www.tragsqatar.com,"MANARET AL DOHA BUILDING B-RING ROAD, DOHA AL JADEEDA, DOHA AL JADEEDA, PO BOX 1884, DOHA, QATAR"
ALPHA DATA - P.J.S.C,Alpha Data PJSC,+97444365619,https://www.alpha.ae,"LLCOFFICE, CHOICE CENTER 305, DOHA, QATAR"
MODERN HOME,MODERN HOME W L L,+97444257777,https://www.Darwishholding.com,"P.O. BOX 615, DOHA, QATAR"
ALFA ROYAL TRADING WLL,ALFA ROYAL TRADING WLL,+97477781749,https://alfaroyaltr.com/,"BUZWAIR COMMERCIAL BUILDING, AL MUNTAZA-BLOCK 2, FLOOR 7, OFFICE NUMBER 2 ZONE 25, STREET 330, BUILDING 57, DOHA, QATAR"
GULF NETWORKS SECURITY SOLUTIONS,GULF NETWORKS SECURITY SOLUTIONS,+97444697424,https://www.gnss.com.qa,"SALWA ROAD , NEAR AL AZIZIA INTERSECTION, BESIDE AL JAZEERA PETROL STATION, DOHA, QATAR"
GULF BUSINESS MACHINES,G B M QATAR,00000,https://www.gbmme.com,"1ST FLOOR, ALMANA TOWER, AIRPORT ROAD, DOHA, QATAR"
al futtaim,AlFuttaim Technologies - Qatar,+97444072052,https://bing.com,"3RD FLOOR, ALFARDAN PLAZA ,ALSADD,, DOHA, STATE OF QATAR , DOHA, QATAR"
Wipro UAE,WIPRO DOHA LLC,+97440297587,https://www.wipro.com,"28TH FLOOR, OFFICE #2806 PALM TOWER, DOHA, QATAR"
FLORA TECHNOLOGY COMPANY WLL,FLORA GROUP W.L.L,+97444311905,https://www.floragroup.net,"BUILDING NO 127 STREET 330 ZONE 41, DOHA, QATAR"
INFO CENTER NETWORKS AND COMMUNICATIONS,INFO CENTER NETWORKS AND COMMUNICATIONS,+97466571960,https://www.icncqatar.com,"PO BOX 9589 BARWA VILLAGE BUILDING NO 7 SHOP NO 33 DOHA-QATAR, DOHA, QATAR"
City Technlogy,City Technlogy,+97431212433,https://www.citytechnology.qa,"BUILDING 140 , STREET 340, ZONE 39, DOHA, QATAR"
ETISAQ TECHNOLOGIES,ETISAQ TECHNOLOGIES,+97444955988,https://www.etisaq.com,"176 MAIN AIRPORT ROAD, AL EMADI ENTERPRISES BUILDING, DOHA, QATAR"
ALI BIN ALI TECHNOLOGY SOLUTIONS,ALI BIN ALI TECHNOLOGY SOLUTIONS,+97444056704,https://www.alibinali.com,"ABA TOWER, PO BOX 75, AD DAWHAH, QATAR"
SEAMLESS SECURITY SERVICES,SEAMLESS SECURITY SERVICES,+97444356585,https://www.seamlessqatar.com,"NO 206, SHARQ PLAZA BUILDING, BUILDING NO 189, STREET 250, DOHA, QATAR"
IMAR Trading & Contracting COMPANY WLL,IMAR TRADING AND CONTRACTING COMPANY,+97444131770,https://www.groupimar.com,"Building # 125, AMIR STREET # 251, DOHA, QATAR"
INFOSYS MIDDLE EAST FZ LLC,Infosys Limited,+97440429789,https://www.infosys.com,"BUILDING 84, STREET 224, AREA 66, PIAZZA LEVEL, QQ05A, QANAT QUARTIER, DOHA, QATAR"
Digital Track Computer Trading LLC,DIGITALTRACK SOLUTIONS TRADING WLL,+97477717518,https://www.digitaltrackgulf.com,"ZONE 24, STREET 830, BUILDING 5,OFFICE 3,FIRST FLOOR, MUNTAZA AREA, RAWDAT AND KHAIL, DOHA- QATAR., QATAR, QATAR"
Alpha Link Technology,ALPHA LINK TECHNOLOGY,+97444644902,https://alphalinktech.qa/,"OFFICE NO 6 , 2ND FLOOR BUILDING NO 111, BIN OMRAN, BIN OMRAN, QATAR"
ERICSSON AB - DUBAI BRANCH,ERICSSON AB - QATAR BRANCH,+97444576000,https://www.ericsson.com,"SALAM TOWER 17RH FLOOR, DOHA, QATAR"
Itelligent Technologies W.L.L,ITELLIGENT TECHNOLOGIES WLL,+97440206624,https://www.itelligent-tech.com,"2ND FLOOR, SALAM PLAZA TOWER 1, WEST BAY, DOHA, QATAR"
Best In Globe Trading & Contracting WLL,BEST IN GLOBE TRADING & CONTRACTING,+97444938950,https://www.big-securitynetworks.com,"ABDUL RAHUMAN BIN JASSIM STREET, OFFICE F10, BUILDING 54, ZONE 90, STREET 720, DOHA, QATAR"
Tech Mahindra Limited,TECH MAHINDRA,+97450532917,https://www.techmahindra.com,"PAM TOWER, DOHA, QATAR"
NEURON TECHNOLOGIES TRADING AND MAINTENANCE,NEURON TECHNOLOGIES TRADING AND MAINTENANCE,+97433883974,https://neuron.com.qa,"BARWA TOWER , 2ND FLOOR , OFFICE NUMBER 57, AL SAID, DOHA, QATAR"
TS QATAR SYSTEMS & COMMUNICATIONS,TS QATAR SYSTEMS & COMMUNICATIONS,+97444364001,https://www.tsqatar.com,"IBN SINA STREET, DOHA, QATAR"
Hayat Communications,HAYAT COMMUNICATIONS,+97444514979,https://digitusg.com,"9TH FLOOR, AL OWAINAH TOWER, NEAR DOUBLE TREE HILTON HOTEL, DOHA, QATAR"
AL-MANA C0MPUTER SERVICES (ACS),ALMANA COMPUTER SERVICES  ACS,+97444489002,https://www.almanacomputerservices.com,"AIRPORT ROAD, DOHA, QATAR"
Diyar United trading and contracting company,DIYAR UNITED TRADING AND CONTRACTING COMPANY,9744216908,,"FOROSIYA ROAD-NEW RAYYAN, AD DAWHAH, AD DAWHAH, QATAR"
Indus Novateur Software LLC,Indus Novateur Software WL,+97431314605,https://www.indusnovateur.com,"UILDING NUMBER 43, STREET 310, ZONE 2, DOHA, QATAR"
SPARC TECHNOLOGIES,SPARC TECHNOLOGIES,+97444166414,https://www.sparctech.org,"OFFICE#46,BLDG200, STREET 995,ZONE 56, DOHA, QATAR"
Qatar Business Systems WLL,Qatar Business Systems WLL,+97444405290,https://qbs.com.qa,"THE PEARL, UDC TOWER 1, DOHA, QATAR"
Orange Technology,ORANGE TECHNOLOGY,009744164899,https://www.orangetech-qa.com,"OFFICE NO 53, 11TH FLOOR, HLEYTON TOWER, AL SAFLIYA ST, DOHA, QATAR"
PETROTEC PETROLEUM TECHNOLOGY COMPANY,PETROTEC PETROLEUM TECHNOLOGY COMPANY,+97455827523,https://www.petrotec.com.qa,"PO BOX 16069, DOHA, QATAR"
NORDIQA SERVICES AND TRADING WLL,NORDIQA SERVICES AND TRADING WLL,50817968,https://www.nordiqa.qa/,"ROOM 02, 46TH FLOOR BURJ AL MANA CO, DOHA, QATAR"
IT Solutions Qatar co W.L.L,IT SOLUTIONS QATAR COMPANY WLL,+97455579037,https://www.itsqatar.net,"OFFICE #23,SALWA ROAD, MIDMAC ROUNDABOUT POBOX 23176 DOHA, QATAR, DOHA, DOHA, QATAR"
SAPIR TECHNOLOGY,SAPIR TECHNOLOGY,+97444435627,https://www.sapirtechnology.com,"Office No: 12, First Floor, Old Karwa Building, Al Mansoura, Doha, Qatar, DOHA, QATAR"
VENTUMTECH TRADING AND CONTRACTING,VENTUMTECH TRADING AND CONTRACTING,+97444323206,https://www.ventumtech.com,"4TH FLOOR, BURJ AL ASMAKH, MAAJLIS AL TAAWON, WEST BAY, DOHA, DOHA, QATAR"
FAMILY COMPUTERS,FAMILY COMPUTERS,+97444324070,https://www.fccqatar.com,"PO BOX 14337, AD DAWHAH, QATAR"
INTERNATIONAL TURNKEY SYSTEMS,INTERNATIONAL TURNKEY SYSTEMS,9744837796,https://WWW.ITS.WS,"PO Box 22064, Doha, QATAR"
BLACK ARROW,BLACK ARROW INTEGRATED TECHNOLOGY SERVICES WLL,+97433267576,https://www.blackarrow.com.qa,"AL MAIRA BUILDING AL AMIR STREET, D-RING ROAD, DOHA, QATAR"
